iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2020,3429259.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,3250353.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,3254712.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,3250769.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,3230193.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,3175301.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,3168545.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,3215358.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,3164791.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,3162922.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,3197100.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,3312386.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,3415884.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,3479290.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,3205751.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,3642948.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,3644084.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,3578305.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,3477438.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,3427779.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,3529394.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,3362082.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,3378848.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,3380950.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,3373584.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,3369904.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,3085900.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,2778341.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,2625713.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,2378896.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,2053324.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,1965013.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,1933047.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,1694870.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,1375054.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,1343553.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,1206370.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,1164602.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,1084732.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,943059.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,893759.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,732990.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,596834.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,373791.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,269111.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,253227.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,229963.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,223288.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,222905.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,228172.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,217854.0
