iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202102,5.82
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202101,3.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202012,2.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202011,2.78
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202010,2.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202009,2.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202008,1.9
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202007,1.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202006,1.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202005,1.68
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202004,1.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202003,1.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202002,2.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202001,2.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201912,3.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201911,2.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201910,2.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201909,1.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201908,1.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201907,1.86
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201906,1.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201905,1.81
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201904,2.14
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201903,3.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201902,4.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201901,4.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201812,4.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201811,4.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201810,2.61
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201809,2.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201808,2.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201807,2.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,1.87
