iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,2389838
USA,USA,Million Cubic Feet,MMcf,2019,1819399
USA,USA,Million Cubic Feet,MMcf,2018,1083118
USA,USA,Million Cubic Feet,MMcf,2017,707542
USA,USA,Million Cubic Feet,MMcf,2016,186841
USA,USA,Million Cubic Feet,MMcf,2015,28381
USA,USA,Million Cubic Feet,MMcf,2014,16255
USA,USA,Million Cubic Feet,MMcf,2013,2924
USA,USA,Million Cubic Feet,MMcf,2012,28298
USA,USA,Million Cubic Feet,MMcf,2011,70001
USA,USA,Million Cubic Feet,MMcf,2010,64793
USA,USA,Million Cubic Feet,MMcf,2009,33355
USA,USA,Million Cubic Feet,MMcf,2008,39217
USA,USA,Million Cubic Feet,MMcf,2007,48485
USA,USA,Million Cubic Feet,MMcf,2006,60938
USA,USA,Million Cubic Feet,MMcf,2005,65367
USA,USA,Million Cubic Feet,MMcf,2004,62467
USA,USA,Million Cubic Feet,MMcf,2003,66075
USA,USA,Million Cubic Feet,MMcf,2002,63842
USA,USA,Million Cubic Feet,MMcf,2001,66218
USA,USA,Million Cubic Feet,MMcf,2000,66028
USA,USA,Million Cubic Feet,MMcf,1999,63882
USA,USA,Million Cubic Feet,MMcf,1998,65984
USA,USA,Million Cubic Feet,MMcf,1997,62187
USA,USA,Million Cubic Feet,MMcf,1996,67648
USA,USA,Million Cubic Feet,MMcf,1995,65283
USA,USA,Million Cubic Feet,MMcf,1994,62682
USA,USA,Million Cubic Feet,MMcf,1993,55989
USA,USA,Million Cubic Feet,MMcf,1992,52532
USA,USA,Million Cubic Feet,MMcf,1991,54005
USA,USA,Million Cubic Feet,MMcf,1990,52546
USA,USA,Million Cubic Feet,MMcf,1989,51424
USA,USA,Million Cubic Feet,MMcf,1988,51573
USA,USA,Million Cubic Feet,MMcf,1987,48599
USA,USA,Million Cubic Feet,MMcf,1986,50172
USA,USA,Million Cubic Feet,MMcf,1985,52883
