iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,211730
USA,USA,Million Cubic Feet,MMcf,202101,305196
USA,USA,Million Cubic Feet,MMcf,202012,304263
USA,USA,Million Cubic Feet,MMcf,202011,280682
USA,USA,Million Cubic Feet,MMcf,202010,222963
USA,USA,Million Cubic Feet,MMcf,202009,151128
USA,USA,Million Cubic Feet,MMcf,202008,112462
USA,USA,Million Cubic Feet,MMcf,202007,96200
USA,USA,Million Cubic Feet,MMcf,202006,109002
USA,USA,Million Cubic Feet,MMcf,202005,182313
USA,USA,Million Cubic Feet,MMcf,202004,210466
USA,USA,Million Cubic Feet,MMcf,202003,244269
USA,USA,Million Cubic Feet,MMcf,202002,225786
USA,USA,Million Cubic Feet,MMcf,202001,250305
USA,USA,Million Cubic Feet,MMcf,201912,220498
USA,USA,Million Cubic Feet,MMcf,201911,190610
USA,USA,Million Cubic Feet,MMcf,201910,177966
USA,USA,Million Cubic Feet,MMcf,201909,160274
USA,USA,Million Cubic Feet,MMcf,201908,138578
USA,USA,Million Cubic Feet,MMcf,201907,156865
USA,USA,Million Cubic Feet,MMcf,201906,141956
USA,USA,Million Cubic Feet,MMcf,201905,144913
USA,USA,Million Cubic Feet,MMcf,201904,127102
USA,USA,Million Cubic Feet,MMcf,201903,130814
USA,USA,Million Cubic Feet,MMcf,201902,102866
USA,USA,Million Cubic Feet,MMcf,201901,126957
USA,USA,Million Cubic Feet,MMcf,201812,122795
USA,USA,Million Cubic Feet,MMcf,201811,107585
USA,USA,Million Cubic Feet,MMcf,201810,89886
USA,USA,Million Cubic Feet,MMcf,201809,81381
USA,USA,Million Cubic Feet,MMcf,201808,91526
USA,USA,Million Cubic Feet,MMcf,201807,98240
USA,USA,Million Cubic Feet,MMcf,201806,73535
USA,USA,Million Cubic Feet,MMcf,201805,94797
USA,USA,Million Cubic Feet,MMcf,201804,85684
USA,USA,Million Cubic Feet,MMcf,201803,91542
USA,USA,Million Cubic Feet,MMcf,201802,73684
USA,USA,Million Cubic Feet,MMcf,201801,72463
USA,USA,Million Cubic Feet,MMcf,201712,82604
USA,USA,Million Cubic Feet,MMcf,201711,80100
USA,USA,Million Cubic Feet,MMcf,201710,80195
USA,USA,Million Cubic Feet,MMcf,201709,54733
USA,USA,Million Cubic Feet,MMcf,201708,45468
USA,USA,Million Cubic Feet,MMcf,201707,53592
USA,USA,Million Cubic Feet,MMcf,201706,52462
USA,USA,Million Cubic Feet,MMcf,201705,60782
USA,USA,Million Cubic Feet,MMcf,201704,50669
USA,USA,Million Cubic Feet,MMcf,201703,43553
USA,USA,Million Cubic Feet,MMcf,201702,52042
USA,USA,Million Cubic Feet,MMcf,201701,51342
USA,USA,Million Cubic Feet,MMcf,201612,41825
USA,USA,Million Cubic Feet,MMcf,201611,32976
USA,USA,Million Cubic Feet,MMcf,201610,3000
USA,USA,Million Cubic Feet,MMcf,201609,16764
USA,USA,Million Cubic Feet,MMcf,201608,26768
USA,USA,Million Cubic Feet,MMcf,201607,15739
USA,USA,Million Cubic Feet,MMcf,201606,16445
USA,USA,Million Cubic Feet,MMcf,201605,9874
USA,USA,Million Cubic Feet,MMcf,201604,10036
USA,USA,Million Cubic Feet,MMcf,201603,10078
USA,USA,Million Cubic Feet,MMcf,201602,3309
USA,USA,Million Cubic Feet,MMcf,201601,26
USA,USA,Million Cubic Feet,MMcf,201512,3172
USA,USA,Million Cubic Feet,MMcf,201511,2969
USA,USA,Million Cubic Feet,MMcf,201510,2769
USA,USA,Million Cubic Feet,MMcf,201509,2767
USA,USA,Million Cubic Feet,MMcf,201508,2763
USA,USA,Million Cubic Feet,MMcf,201507,2771
USA,USA,Million Cubic Feet,MMcf,201506,2774
USA,USA,Million Cubic Feet,MMcf,201505,2769
USA,USA,Million Cubic Feet,MMcf,201504,24
USA,USA,Million Cubic Feet,MMcf,201503,23
USA,USA,Million Cubic Feet,MMcf,201502,2748
USA,USA,Million Cubic Feet,MMcf,201501,2832
USA,USA,Million Cubic Feet,MMcf,201412,28
USA,USA,Million Cubic Feet,MMcf,201411,27
USA,USA,Million Cubic Feet,MMcf,201410,2904
USA,USA,Million Cubic Feet,MMcf,201409,2904
USA,USA,Million Cubic Feet,MMcf,201408,2863
USA,USA,Million Cubic Feet,MMcf,201407,2827
USA,USA,Million Cubic Feet,MMcf,201406,17
USA,USA,Million Cubic Feet,MMcf,201405,1907
USA,USA,Million Cubic Feet,MMcf,201404,25
USA,USA,Million Cubic Feet,MMcf,201403,28
USA,USA,Million Cubic Feet,MMcf,201402,2694
USA,USA,Million Cubic Feet,MMcf,201401,29
USA,USA,Million Cubic Feet,MMcf,201312,26
USA,USA,Million Cubic Feet,MMcf,201311,2747
USA,USA,Million Cubic Feet,MMcf,201310,16
USA,USA,Million Cubic Feet,MMcf,201309,12
USA,USA,Million Cubic Feet,MMcf,201308,9
USA,USA,Million Cubic Feet,MMcf,201307,8
USA,USA,Million Cubic Feet,MMcf,201306,12
USA,USA,Million Cubic Feet,MMcf,201305,15
USA,USA,Million Cubic Feet,MMcf,201304,21
USA,USA,Million Cubic Feet,MMcf,201303,23
USA,USA,Million Cubic Feet,MMcf,201302,22
USA,USA,Million Cubic Feet,MMcf,201301,13
USA,USA,Million Cubic Feet,MMcf,201212,5520
USA,USA,Million Cubic Feet,MMcf,201211,7
USA,USA,Million Cubic Feet,MMcf,201210,4371
USA,USA,Million Cubic Feet,MMcf,201209,12
USA,USA,Million Cubic Feet,MMcf,201208,2455
USA,USA,Million Cubic Feet,MMcf,201207,12
USA,USA,Million Cubic Feet,MMcf,201206,2399
USA,USA,Million Cubic Feet,MMcf,201205,2811
USA,USA,Million Cubic Feet,MMcf,201204,18
USA,USA,Million Cubic Feet,MMcf,201203,2615
USA,USA,Million Cubic Feet,MMcf,201202,1880
USA,USA,Million Cubic Feet,MMcf,201201,6199
USA,USA,Million Cubic Feet,MMcf,201112,5215
USA,USA,Million Cubic Feet,MMcf,201111,4869
USA,USA,Million Cubic Feet,MMcf,201110,2870
USA,USA,Million Cubic Feet,MMcf,201109,9965
USA,USA,Million Cubic Feet,MMcf,201108,1926
USA,USA,Million Cubic Feet,MMcf,201107,2593
USA,USA,Million Cubic Feet,MMcf,201106,1929
USA,USA,Million Cubic Feet,MMcf,201105,8442
USA,USA,Million Cubic Feet,MMcf,201104,7743
USA,USA,Million Cubic Feet,MMcf,201103,5013
USA,USA,Million Cubic Feet,MMcf,201102,5049
USA,USA,Million Cubic Feet,MMcf,201101,14388
USA,USA,Million Cubic Feet,MMcf,201012,15111
USA,USA,Million Cubic Feet,MMcf,201011,9567
USA,USA,Million Cubic Feet,MMcf,201010,7906
USA,USA,Million Cubic Feet,MMcf,201009,6664
