iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,49214
USA,USA,Million Cubic Feet,MMcf,2019,52903
USA,USA,Million Cubic Feet,MMcf,2018,76451
USA,USA,Million Cubic Feet,MMcf,2017,78011
USA,USA,Million Cubic Feet,MMcf,2016,88367
USA,USA,Million Cubic Feet,MMcf,2015,91511
USA,USA,Million Cubic Feet,MMcf,2014,59275
USA,USA,Million Cubic Feet,MMcf,2013,96859
USA,USA,Million Cubic Feet,MMcf,2012,174649
USA,USA,Million Cubic Feet,MMcf,2011,348939
USA,USA,Million Cubic Feet,MMcf,2010,431010
USA,USA,Million Cubic Feet,MMcf,2009,451957
USA,USA,Million Cubic Feet,MMcf,2008,351698
USA,USA,Million Cubic Feet,MMcf,2007,770812
USA,USA,Million Cubic Feet,MMcf,2006,583537
USA,USA,Million Cubic Feet,MMcf,2005,631260
USA,USA,Million Cubic Feet,MMcf,2004,652015
USA,USA,Million Cubic Feet,MMcf,2003,506519
USA,USA,Million Cubic Feet,MMcf,2002,228730
USA,USA,Million Cubic Feet,MMcf,2001,238126
USA,USA,Million Cubic Feet,MMcf,2000,226036
USA,USA,Million Cubic Feet,MMcf,1999,163430
USA,USA,Million Cubic Feet,MMcf,1998,85453
USA,USA,Million Cubic Feet,MMcf,1997,77778
USA,USA,Million Cubic Feet,MMcf,1996,40274
USA,USA,Million Cubic Feet,MMcf,1995,17918
USA,USA,Million Cubic Feet,MMcf,1994,50778
USA,USA,Million Cubic Feet,MMcf,1993,81685
USA,USA,Million Cubic Feet,MMcf,1992,43116
USA,USA,Million Cubic Feet,MMcf,1991,63596
USA,USA,Million Cubic Feet,MMcf,1990,84193
USA,USA,Million Cubic Feet,MMcf,1989,42163
USA,USA,Million Cubic Feet,MMcf,1988,17490
USA,USA,Million Cubic Feet,MMcf,1987,0
USA,USA,Million Cubic Feet,MMcf,1986,1669
USA,USA,Million Cubic Feet,MMcf,1985,23659
