iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,5694
USA,USA,Million Cubic Feet,MMcf,202101,6379
USA,USA,Million Cubic Feet,MMcf,202012,5489
USA,USA,Million Cubic Feet,MMcf,202011,2846
USA,USA,Million Cubic Feet,MMcf,202010,8
USA,USA,Million Cubic Feet,MMcf,202009,1241
USA,USA,Million Cubic Feet,MMcf,202008,2883
USA,USA,Million Cubic Feet,MMcf,202007,4083
USA,USA,Million Cubic Feet,MMcf,202006,4871
USA,USA,Million Cubic Feet,MMcf,202005,2811
USA,USA,Million Cubic Feet,MMcf,202004,3214
USA,USA,Million Cubic Feet,MMcf,202003,2860
USA,USA,Million Cubic Feet,MMcf,202002,5689
USA,USA,Million Cubic Feet,MMcf,202001,13218
USA,USA,Million Cubic Feet,MMcf,201912,10481
USA,USA,Million Cubic Feet,MMcf,201911,2781
USA,USA,Million Cubic Feet,MMcf,201910,5532
USA,USA,Million Cubic Feet,MMcf,201909,0
USA,USA,Million Cubic Feet,MMcf,201908,2886
USA,USA,Million Cubic Feet,MMcf,201907,2832
USA,USA,Million Cubic Feet,MMcf,201906,5
USA,USA,Million Cubic Feet,MMcf,201905,9
USA,USA,Million Cubic Feet,MMcf,201904,2842
USA,USA,Million Cubic Feet,MMcf,201903,3499
USA,USA,Million Cubic Feet,MMcf,201902,7555
USA,USA,Million Cubic Feet,MMcf,201901,14482
USA,USA,Million Cubic Feet,MMcf,201812,14771
USA,USA,Million Cubic Feet,MMcf,201811,2805
USA,USA,Million Cubic Feet,MMcf,201810,6075
USA,USA,Million Cubic Feet,MMcf,201809,3154
USA,USA,Million Cubic Feet,MMcf,201808,5473
USA,USA,Million Cubic Feet,MMcf,201807,5602
USA,USA,Million Cubic Feet,MMcf,201806,2904
USA,USA,Million Cubic Feet,MMcf,201805,2653
USA,USA,Million Cubic Feet,MMcf,201804,3131
USA,USA,Million Cubic Feet,MMcf,201803,6473
USA,USA,Million Cubic Feet,MMcf,201802,6771
USA,USA,Million Cubic Feet,MMcf,201801,16640
USA,USA,Million Cubic Feet,MMcf,201712,10864
USA,USA,Million Cubic Feet,MMcf,201711,6378
USA,USA,Million Cubic Feet,MMcf,201710,2457
USA,USA,Million Cubic Feet,MMcf,201709,2650
USA,USA,Million Cubic Feet,MMcf,201708,7862
USA,USA,Million Cubic Feet,MMcf,201707,5189
USA,USA,Million Cubic Feet,MMcf,201706,5637
USA,USA,Million Cubic Feet,MMcf,201705,5494
USA,USA,Million Cubic Feet,MMcf,201704,5171
USA,USA,Million Cubic Feet,MMcf,201703,4878
USA,USA,Million Cubic Feet,MMcf,201702,8477
USA,USA,Million Cubic Feet,MMcf,201701,12955
USA,USA,Million Cubic Feet,MMcf,201612,8854
USA,USA,Million Cubic Feet,MMcf,201611,9073
USA,USA,Million Cubic Feet,MMcf,201610,5753
USA,USA,Million Cubic Feet,MMcf,201609,2882
USA,USA,Million Cubic Feet,MMcf,201608,8082
USA,USA,Million Cubic Feet,MMcf,201607,5773
USA,USA,Million Cubic Feet,MMcf,201606,7638
USA,USA,Million Cubic Feet,MMcf,201605,5200
USA,USA,Million Cubic Feet,MMcf,201604,4767
USA,USA,Million Cubic Feet,MMcf,201603,8568
USA,USA,Million Cubic Feet,MMcf,201602,9728
USA,USA,Million Cubic Feet,MMcf,201601,12048
USA,USA,Million Cubic Feet,MMcf,201512,5618
USA,USA,Million Cubic Feet,MMcf,201511,7515
USA,USA,Million Cubic Feet,MMcf,201510,8689
USA,USA,Million Cubic Feet,MMcf,201509,5654
USA,USA,Million Cubic Feet,MMcf,201508,11205
USA,USA,Million Cubic Feet,MMcf,201507,7173
USA,USA,Million Cubic Feet,MMcf,201506,2598
USA,USA,Million Cubic Feet,MMcf,201505,1707
USA,USA,Million Cubic Feet,MMcf,201504,2883
USA,USA,Million Cubic Feet,MMcf,201503,14651
USA,USA,Million Cubic Feet,MMcf,201502,12202
USA,USA,Million Cubic Feet,MMcf,201501,11616
USA,USA,Million Cubic Feet,MMcf,201412,8011
USA,USA,Million Cubic Feet,MMcf,201411,0
USA,USA,Million Cubic Feet,MMcf,201410,6973
USA,USA,Million Cubic Feet,MMcf,201409,5745
