iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,58084
USA,USA,Million Cubic Feet,MMcf,2018,9248
USA,USA,Million Cubic Feet,MMcf,2017,-256
USA,USA,Million Cubic Feet,MMcf,2016,7793
USA,USA,Million Cubic Feet,MMcf,2015,8251
USA,USA,Million Cubic Feet,MMcf,2014,559
USA,USA,Million Cubic Feet,MMcf,2013,-309
USA,USA,Million Cubic Feet,MMcf,2012,1491
USA,USA,Million Cubic Feet,MMcf,2011,6424
USA,USA,Million Cubic Feet,MMcf,2010,-4282
USA,USA,Million Cubic Feet,MMcf,2009,5797
USA,USA,Million Cubic Feet,MMcf,2008,-302
USA,USA,Million Cubic Feet,MMcf,2007,14
USA,USA,Million Cubic Feet,MMcf,2006,-4958
USA,USA,Million Cubic Feet,MMcf,2005,-3405
USA,USA,Million Cubic Feet,MMcf,2004,-834
USA,USA,Million Cubic Feet,MMcf,2003,-4213
USA,USA,Million Cubic Feet,MMcf,2002,707
USA,USA,Million Cubic Feet,MMcf,2001,9740
USA,USA,Million Cubic Feet,MMcf,2000,-14644
USA,USA,Million Cubic Feet,MMcf,1999,2154
USA,USA,Million Cubic Feet,MMcf,1998,3522
USA,USA,Million Cubic Feet,MMcf,1997,348
USA,USA,Million Cubic Feet,MMcf,1996,3770
USA,USA,Million Cubic Feet,MMcf,1995,-6549
USA,USA,Million Cubic Feet,MMcf,1994,-2211
USA,USA,Million Cubic Feet,MMcf,1993,-6972
USA,USA,Million Cubic Feet,MMcf,1992,-4501
USA,USA,Million Cubic Feet,MMcf,1991,169
USA,USA,Million Cubic Feet,MMcf,1990,13271
USA,USA,Million Cubic Feet,MMcf,1989,-13807
USA,USA,Million Cubic Feet,MMcf,1988,10559
USA,USA,Million Cubic Feet,MMcf,1987,-89
USA,USA,Million Cubic Feet,MMcf,1986,6504
USA,USA,Million Cubic Feet,MMcf,1985,-3283
USA,USA,Million Cubic Feet,MMcf,1984,8780
USA,USA,Million Cubic Feet,MMcf,1983,-5699
USA,USA,Million Cubic Feet,MMcf,1982,2488
USA,USA,Million Cubic Feet,MMcf,1981,4687
USA,USA,Million Cubic Feet,MMcf,1980,-9651
USA,USA,Million Cubic Feet,MMcf,1969,-2581
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,1
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,-1
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,-2581
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,-21
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,149
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,-162
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,-52
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,226
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,-206
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,63
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,-22
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,-75
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,-21
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,178
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,-73
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,-209
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,-7
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,114
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,19
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,-47
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,298
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,-136
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,-285
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,-219
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,32
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,425
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,-303
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,-164
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,448
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,215
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,239
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,-19
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,456
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,-422
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,164
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,-46
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,132
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,-459
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,459
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,-580
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,66
USA-AL,USA-AL,Million Cubic Feet,MMcf,1981,30
USA-AL,USA-AL,Million Cubic Feet,MMcf,1980,185
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,-32
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,-47
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,-12
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,-35
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,14
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,12
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,9
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,-7
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,2
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,-24
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,-21
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,-3
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,12
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,-20
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,-36
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,52
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,4
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,-2
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,-1
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,-1
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,2
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,-11
USA-AR,USA-AR,Million Cubic Feet,MMcf,1996,-85
USA-AR,USA-AR,Million Cubic Feet,MMcf,1995,-27
USA-AR,USA-AR,Million Cubic Feet,MMcf,1994,5
USA-AR,USA-AR,Million Cubic Feet,MMcf,1993,9
