iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,75653
USA,USA,Million Cubic Feet,MMcf,2018,50454
USA,USA,Million Cubic Feet,MMcf,2017,42868
USA,USA,Million Cubic Feet,MMcf,2016,40015
USA,USA,Million Cubic Feet,MMcf,2015,50561
USA,USA,Million Cubic Feet,MMcf,2014,64056
USA,USA,Million Cubic Feet,MMcf,2013,42270
USA,USA,Million Cubic Feet,MMcf,2012,26955
USA,USA,Million Cubic Feet,MMcf,2011,33575
USA,USA,Million Cubic Feet,MMcf,2010,36487
USA,USA,Million Cubic Feet,MMcf,2009,41298
USA,USA,Million Cubic Feet,MMcf,2008,45362
USA,USA,Million Cubic Feet,MMcf,2007,50167
USA,USA,Million Cubic Feet,MMcf,2006,33749
USA,USA,Million Cubic Feet,MMcf,2005,50039
USA,USA,Million Cubic Feet,MMcf,2004,51123
USA,USA,Million Cubic Feet,MMcf,2003,61950
USA,USA,Million Cubic Feet,MMcf,2002,42797
USA,USA,Million Cubic Feet,MMcf,2001,35470
USA,USA,Million Cubic Feet,MMcf,2000,51513
USA,USA,Million Cubic Feet,MMcf,1999,36179
USA,USA,Million Cubic Feet,MMcf,1998,54365
USA,USA,Million Cubic Feet,MMcf,1997,69517
USA,USA,Million Cubic Feet,MMcf,1996,69287
USA,USA,Million Cubic Feet,MMcf,1995,50446
USA,USA,Million Cubic Feet,MMcf,1994,70689
USA,USA,Million Cubic Feet,MMcf,1993,82189
USA,USA,Million Cubic Feet,MMcf,1992,48534
USA,USA,Million Cubic Feet,MMcf,1991,63090
USA,USA,Million Cubic Feet,MMcf,1990,52544
USA,USA,Million Cubic Feet,MMcf,1989,50274
USA,USA,Million Cubic Feet,MMcf,1988,26390
USA,USA,Million Cubic Feet,MMcf,1987,24468
USA,USA,Million Cubic Feet,MMcf,1986,24996
USA,USA,Million Cubic Feet,MMcf,1985,37954
USA,USA,Million Cubic Feet,MMcf,1984,34011
USA,USA,Million Cubic Feet,MMcf,1983,127627
USA,USA,Million Cubic Feet,MMcf,1982,70540
USA,USA,Million Cubic Feet,MMcf,1981,43152
USA,USA,Million Cubic Feet,MMcf,1980,62431
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,697
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,467
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,319
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,158
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,1
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,686
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,1730
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,432
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,446
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,1130
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,1869
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,759
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,583
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,829
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,968
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,1498
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,1076
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,1078
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,698
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,606
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,528
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,607
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,573
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,641
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,1014
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,783
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,469
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,535
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,1282
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,688
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,497
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,396
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,262
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,530
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,437
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,934
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,444
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,511
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,449
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,971
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,379
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,933
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,688
USA-AL,USA-AL,Million Cubic Feet,MMcf,1981,878
USA-AL,USA-AL,Million Cubic Feet,MMcf,1980,470
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,32
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,47
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,42
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,55
