iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,1357355.0
USA,USA,Million Cubic Feet,MMcf,2018,1248046.0
USA,USA,Million Cubic Feet,MMcf,2017,1159864.0
USA,USA,Million Cubic Feet,MMcf,2016,1126088.0
USA,USA,Million Cubic Feet,MMcf,2015,1139255.0
USA,USA,Million Cubic Feet,MMcf,2014,1086905.0
USA,USA,Million Cubic Feet,MMcf,2013,1068289.0
USA,USA,Million Cubic Feet,MMcf,2012,987957.0
USA,USA,Million Cubic Feet,MMcf,2011,938340.0
USA,USA,Million Cubic Feet,MMcf,2010,916797.0
USA,USA,Million Cubic Feet,MMcf,2009,913229.0
USA,USA,Million Cubic Feet,MMcf,2008,864113.0
USA,USA,Million Cubic Feet,MMcf,2007,861063.0
USA,USA,Million Cubic Feet,MMcf,2006,782992.0
USA,USA,Million Cubic Feet,MMcf,2005,756324.0
USA,USA,Million Cubic Feet,MMcf,2004,731563.0
USA,USA,Million Cubic Feet,MMcf,2003,758380.0
USA,USA,Million Cubic Feet,MMcf,2002,730579.0
USA,USA,Million Cubic Feet,MMcf,2001,747411.0
USA,USA,Million Cubic Feet,MMcf,2000,746889.0
USA,USA,Million Cubic Feet,MMcf,1999,679480.0
USA,USA,Million Cubic Feet,MMcf,1998,771366.0
USA,USA,Million Cubic Feet,MMcf,1997,776306.0
USA,USA,Million Cubic Feet,MMcf,1996,799629.0
USA,USA,Million Cubic Feet,MMcf,1995,792315.0
USA,USA,Million Cubic Feet,MMcf,1994,699842.0
USA,USA,Million Cubic Feet,MMcf,1993,723118.0
USA,USA,Million Cubic Feet,MMcf,1992,710250.0
USA,USA,Million Cubic Feet,MMcf,1991,672314.0
USA,USA,Million Cubic Feet,MMcf,1990,807735.0
USA,USA,Million Cubic Feet,MMcf,1989,640633.0
USA,USA,Million Cubic Feet,MMcf,1988,697703.0
USA,USA,Million Cubic Feet,MMcf,1987,741268.0
USA,USA,Million Cubic Feet,MMcf,1986,573793.0
USA,USA,Million Cubic Feet,MMcf,1985,598475.0
USA,USA,Million Cubic Feet,MMcf,1984,687356.0
USA,USA,Million Cubic Feet,MMcf,1983,595172.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,246649.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,249643.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,239734.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,226496.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,223246.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,219451.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,219190.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,214335.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,208531.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,211918.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,219161.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,211878.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,227374.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,218153.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,259829.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,237530.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,255701.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,241469.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,229206.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,226659.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,224355.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,242271.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,230578.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,255500.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,253695.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,200809.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,202199.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,197975.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,187106.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,166155.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,189702.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,151280.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,112404.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,71104.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,62341.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,109333.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,96603.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,7874.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,8444.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,8737.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,9835.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,10675.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,9429.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,12456.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,12389.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,10367.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,10163.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,10460.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,11136.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,11345.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,12045.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,11291.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,11809.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,11470.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,9521.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,9593.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,10410.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,9954.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,7650.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,7020.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,10492.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,10468.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,9381.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,8912.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,8391.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,4907.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,6171.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,4277.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,5021.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,5314.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,4139.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,4227.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,4154.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,3600.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,3037.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,3415.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,4015.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,4761.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,5856.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,6469.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,6605.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,6599.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,6173.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,5340.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,4091.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,2521.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,1502.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,1351.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,1288.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,1364.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,615.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,536.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,849.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,1468.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,1822.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,7980.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,6349.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1996,5124.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1995,5083.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1994,4283.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1993,6053.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1992,5570.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1991,1218.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1990,6464.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1989,3940.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1988,5469.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1987,5720.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1986,4353.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1985,5362.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1984,4956.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1983,4402.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,4.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,3.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,4.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,3.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,5.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,10.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,4.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,12.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,17.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,19.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,17.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,20.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,20.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,23.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,23.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,25.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,18.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,58.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,40.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,36.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,35.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,46.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,51.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1996,58.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1995,57.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1994,61.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1993,49.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1992,41.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1991,45.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1990,71.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1989,35.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1988,5.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1987,6.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1986,5.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1985,6.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1984,7.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1983,7.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,38675.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,39720.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,41146.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,40830.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,43838.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,42989.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,49846.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,51154.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,44379.0
