iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,1829029
USA,USA,Million Cubic Feet,MMcf,2019,1846355
USA,USA,Million Cubic Feet,MMcf,2018,1694238
USA,USA,Million Cubic Feet,MMcf,2017,1582935
USA,USA,Million Cubic Feet,MMcf,2016,1545330
USA,USA,Million Cubic Feet,MMcf,2015,1576390
USA,USA,Million Cubic Feet,MMcf,2014,1512143
USA,USA,Million Cubic Feet,MMcf,2013,1483085
USA,USA,Million Cubic Feet,MMcf,2012,1396273
USA,USA,Million Cubic Feet,MMcf,2011,1322588
USA,USA,Million Cubic Feet,MMcf,2010,1285627
USA,USA,Million Cubic Feet,MMcf,2009,1275239
USA,USA,Million Cubic Feet,MMcf,2008,1219703
USA,USA,Million Cubic Feet,MMcf,2007,1226386
USA,USA,Million Cubic Feet,MMcf,2006,1141977
USA,USA,Million Cubic Feet,MMcf,2005,1111517
USA,USA,Million Cubic Feet,MMcf,2004,1097904
USA,USA,Million Cubic Feet,MMcf,2003,1122283
USA,USA,Million Cubic Feet,MMcf,2002,1113082
USA,USA,Million Cubic Feet,MMcf,2001,1118552
USA,USA,Million Cubic Feet,MMcf,2000,1150948
USA,USA,Million Cubic Feet,MMcf,1999,1078989
USA,USA,Million Cubic Feet,MMcf,1998,1172680
USA,USA,Million Cubic Feet,MMcf,1997,1203179
USA,USA,Million Cubic Feet,MMcf,1996,1249662
USA,USA,Million Cubic Feet,MMcf,1995,1220168
USA,USA,Million Cubic Feet,MMcf,1994,1123720
USA,USA,Million Cubic Feet,MMcf,1993,1171940
USA,USA,Million Cubic Feet,MMcf,1992,1170821
USA,USA,Million Cubic Feet,MMcf,1991,1129268
USA,USA,Million Cubic Feet,MMcf,1990,1236392
USA,USA,Million Cubic Feet,MMcf,1989,1069902
USA,USA,Million Cubic Feet,MMcf,1988,1095883
USA,USA,Million Cubic Feet,MMcf,1987,1149383
USA,USA,Million Cubic Feet,MMcf,1986,922524
USA,USA,Million Cubic Feet,MMcf,1985,966047
USA,USA,Million Cubic Feet,MMcf,1984,1076881
USA,USA,Million Cubic Feet,MMcf,1983,978249
USA,USA,Million Cubic Feet,MMcf,1982,1109398
USA,USA,Million Cubic Feet,MMcf,1981,927591
USA,USA,Million Cubic Feet,MMcf,1980,1026438
USA,USA,Million Cubic Feet,MMcf,1979,1498530
USA,USA,Million Cubic Feet,MMcf,1978,1647911
USA,USA,Million Cubic Feet,MMcf,1977,1659145
USA,USA,Million Cubic Feet,MMcf,1976,1634355
USA,USA,Million Cubic Feet,MMcf,1975,1396277
USA,USA,Million Cubic Feet,MMcf,1974,1477386
USA,USA,Million Cubic Feet,MMcf,1973,1495915
USA,USA,Million Cubic Feet,MMcf,1972,1455563
USA,USA,Million Cubic Feet,MMcf,1971,1413650
USA,USA,Million Cubic Feet,MMcf,1970,1398758
USA,USA,Million Cubic Feet,MMcf,1969,1345648
USA,USA,Million Cubic Feet,MMcf,1968,1237131
USA,USA,Million Cubic Feet,MMcf,1967,1140966
USA,USA,Million Cubic Feet,MMcf,1966,1033400
USA,USA,Million Cubic Feet,MMcf,1965,1156224
USA,USA,Million Cubic Feet,MMcf,1964,1370835
USA,USA,Million Cubic Feet,MMcf,1963,1411088
USA,USA,Million Cubic Feet,MMcf,1962,1369512
USA,USA,Million Cubic Feet,MMcf,1961,1288762
USA,USA,Million Cubic Feet,MMcf,1960,1236781
USA,USA,Million Cubic Feet,MMcf,1959,1238945
USA,USA,Million Cubic Feet,MMcf,1958,1146064
USA,USA,Million Cubic Feet,MMcf,1957,1046084
USA,USA,Million Cubic Feet,MMcf,1956,1002537
USA,USA,Million Cubic Feet,MMcf,1955,1130985
USA,USA,Million Cubic Feet,MMcf,1954,1102535
USA,USA,Million Cubic Feet,MMcf,1953,1131017
USA,USA,Million Cubic Feet,MMcf,1952,1164596
USA,USA,Million Cubic Feet,MMcf,1951,1149470
USA,USA,Million Cubic Feet,MMcf,1950,927611
USA,USA,Million Cubic Feet,MMcf,1949,835297
USA,USA,Million Cubic Feet,MMcf,1948,812005
USA,USA,Million Cubic Feet,MMcf,1947,745027
USA,USA,Million Cubic Feet,MMcf,1946,732535
USA,USA,Million Cubic Feet,MMcf,1945,757016
USA,USA,Million Cubic Feet,MMcf,1944,712312
USA,USA,Million Cubic Feet,MMcf,1943,659198
USA,USA,Million Cubic Feet,MMcf,1942,602063
USA,USA,Million Cubic Feet,MMcf,1941,570694
USA,USA,Million Cubic Feet,MMcf,1940,632335
USA,USA,Million Cubic Feet,MMcf,1939,607138
USA,USA,Million Cubic Feet,MMcf,1938,585865
USA,USA,Million Cubic Feet,MMcf,1937,581110
USA,USA,Million Cubic Feet,MMcf,1936,557404
USA,USA,Million Cubic Feet,MMcf,1935,524926
USA,USA,Million Cubic Feet,MMcf,1934,502352
USA,USA,Million Cubic Feet,MMcf,1933,442879
USA,USA,Million Cubic Feet,MMcf,1932,477562
USA,USA,Million Cubic Feet,MMcf,1931,509077
USA,USA,Million Cubic Feet,MMcf,1930,648025
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,281872
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,271284
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,295834
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,292811
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,238156
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,237702
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,234716
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,223194
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,193875
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,192239
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,153670
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,116682
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,72686
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,64148
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,111069
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,97828
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,94232
