iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,130877
USA,USA,Million Cubic Feet,MMcf,202101,156416
USA,USA,Million Cubic Feet,MMcf,202012,156453
USA,USA,Million Cubic Feet,MMcf,202011,151209
USA,USA,Million Cubic Feet,MMcf,202010,151465
USA,USA,Million Cubic Feet,MMcf,202009,147352
USA,USA,Million Cubic Feet,MMcf,202008,153551
USA,USA,Million Cubic Feet,MMcf,202007,152878
USA,USA,Million Cubic Feet,MMcf,202006,145435
USA,USA,Million Cubic Feet,MMcf,202005,148337
USA,USA,Million Cubic Feet,MMcf,202004,151786
USA,USA,Million Cubic Feet,MMcf,202003,160092
USA,USA,Million Cubic Feet,MMcf,202002,149600
USA,USA,Million Cubic Feet,MMcf,202001,160870
USA,USA,Million Cubic Feet,MMcf,201912,163446
USA,USA,Million Cubic Feet,MMcf,201911,157739
USA,USA,Million Cubic Feet,MMcf,201910,161804
USA,USA,Million Cubic Feet,MMcf,201909,154403
USA,USA,Million Cubic Feet,MMcf,201908,159752
USA,USA,Million Cubic Feet,MMcf,201907,155928
USA,USA,Million Cubic Feet,MMcf,201906,150102
USA,USA,Million Cubic Feet,MMcf,201905,154497
USA,USA,Million Cubic Feet,MMcf,201904,148340
USA,USA,Million Cubic Feet,MMcf,201903,152672
USA,USA,Million Cubic Feet,MMcf,201902,136965
USA,USA,Million Cubic Feet,MMcf,201901,150706
USA,USA,Million Cubic Feet,MMcf,201812,152744
USA,USA,Million Cubic Feet,MMcf,201811,148545
USA,USA,Million Cubic Feet,MMcf,201810,150862
USA,USA,Million Cubic Feet,MMcf,201809,144167
USA,USA,Million Cubic Feet,MMcf,201808,146569
USA,USA,Million Cubic Feet,MMcf,201807,143671
USA,USA,Million Cubic Feet,MMcf,201806,136321
USA,USA,Million Cubic Feet,MMcf,201805,140156
USA,USA,Million Cubic Feet,MMcf,201804,134093
USA,USA,Million Cubic Feet,MMcf,201803,138799
USA,USA,Million Cubic Feet,MMcf,201802,123921
USA,USA,Million Cubic Feet,MMcf,201801,134390
USA,USA,Million Cubic Feet,MMcf,201712,144427
USA,USA,Million Cubic Feet,MMcf,201711,138792
USA,USA,Million Cubic Feet,MMcf,201710,139089
USA,USA,Million Cubic Feet,MMcf,201709,132252
USA,USA,Million Cubic Feet,MMcf,201708,134312
USA,USA,Million Cubic Feet,MMcf,201707,134387
USA,USA,Million Cubic Feet,MMcf,201706,128725
USA,USA,Million Cubic Feet,MMcf,201705,131738
USA,USA,Million Cubic Feet,MMcf,201704,127491
USA,USA,Million Cubic Feet,MMcf,201703,131579
USA,USA,Million Cubic Feet,MMcf,201702,116217
USA,USA,Million Cubic Feet,MMcf,201701,126894
USA,USA,Million Cubic Feet,MMcf,201612,128282
USA,USA,Million Cubic Feet,MMcf,201611,125558
USA,USA,Million Cubic Feet,MMcf,201610,128669
USA,USA,Million Cubic Feet,MMcf,201609,125008
USA,USA,Million Cubic Feet,MMcf,201608,130037
USA,USA,Million Cubic Feet,MMcf,201607,131076
USA,USA,Million Cubic Feet,MMcf,201606,125818
USA,USA,Million Cubic Feet,MMcf,201605,131270
USA,USA,Million Cubic Feet,MMcf,201604,128499
USA,USA,Million Cubic Feet,MMcf,201603,132875
USA,USA,Million Cubic Feet,MMcf,201602,125722
USA,USA,Million Cubic Feet,MMcf,201601,132516
USA,USA,Million Cubic Feet,MMcf,201512,133407
USA,USA,Million Cubic Feet,MMcf,201511,129096
USA,USA,Million Cubic Feet,MMcf,201510,133961
USA,USA,Million Cubic Feet,MMcf,201509,130591
USA,USA,Million Cubic Feet,MMcf,201508,134098
USA,USA,Million Cubic Feet,MMcf,201507,133945
USA,USA,Million Cubic Feet,MMcf,201506,129215
USA,USA,Million Cubic Feet,MMcf,201505,133834
USA,USA,Million Cubic Feet,MMcf,201504,131408
USA,USA,Million Cubic Feet,MMcf,201503,133856
USA,USA,Million Cubic Feet,MMcf,201502,120370
USA,USA,Million Cubic Feet,MMcf,201501,132608
USA,USA,Million Cubic Feet,MMcf,201412,132541
USA,USA,Million Cubic Feet,MMcf,201411,127279
USA,USA,Million Cubic Feet,MMcf,201410,132368
USA,USA,Million Cubic Feet,MMcf,201409,126840
USA,USA,Million Cubic Feet,MMcf,201408,131115
USA,USA,Million Cubic Feet,MMcf,201407,130405
USA,USA,Million Cubic Feet,MMcf,201406,123570
USA,USA,Million Cubic Feet,MMcf,201405,127034
USA,USA,Million Cubic Feet,MMcf,201404,123603
USA,USA,Million Cubic Feet,MMcf,201403,124673
USA,USA,Million Cubic Feet,MMcf,201402,111800
USA,USA,Million Cubic Feet,MMcf,201401,120915
USA,USA,Million Cubic Feet,MMcf,201312,126358
USA,USA,Million Cubic Feet,MMcf,201311,124369
USA,USA,Million Cubic Feet,MMcf,201310,127212
USA,USA,Million Cubic Feet,MMcf,201309,122736
USA,USA,Million Cubic Feet,MMcf,201308,127158
USA,USA,Million Cubic Feet,MMcf,201307,127432
USA,USA,Million Cubic Feet,MMcf,201306,120934
USA,USA,Million Cubic Feet,MMcf,201305,125149
USA,USA,Million Cubic Feet,MMcf,201304,121527
USA,USA,Million Cubic Feet,MMcf,201303,123977
USA,USA,Million Cubic Feet,MMcf,201302,112282
USA,USA,Million Cubic Feet,MMcf,201301,123951
USA,USA,Million Cubic Feet,MMcf,201212,118880
USA,USA,Million Cubic Feet,MMcf,201211,116074
USA,USA,Million Cubic Feet,MMcf,201210,119771
USA,USA,Million Cubic Feet,MMcf,201209,115658
USA,USA,Million Cubic Feet,MMcf,201208,118830
USA,USA,Million Cubic Feet,MMcf,201207,119418
USA,USA,Million Cubic Feet,MMcf,201206,112654
USA,USA,Million Cubic Feet,MMcf,201205,117153
USA,USA,Million Cubic Feet,MMcf,201204,112909
USA,USA,Million Cubic Feet,MMcf,201203,117005
USA,USA,Million Cubic Feet,MMcf,201202,109038
USA,USA,Million Cubic Feet,MMcf,201201,118883
USA,USA,Million Cubic Feet,MMcf,201112,117941
USA,USA,Million Cubic Feet,MMcf,201111,114768
USA,USA,Million Cubic Feet,MMcf,201110,116320
USA,USA,Million Cubic Feet,MMcf,201109,109465
USA,USA,Million Cubic Feet,MMcf,201108,110980
USA,USA,Million Cubic Feet,MMcf,201107,109606
USA,USA,Million Cubic Feet,MMcf,201106,107452
USA,USA,Million Cubic Feet,MMcf,201105,111897
USA,USA,Million Cubic Feet,MMcf,201104,108766
USA,USA,Million Cubic Feet,MMcf,201103,111445
USA,USA,Million Cubic Feet,MMcf,201102,96973
USA,USA,Million Cubic Feet,MMcf,201101,106975
USA,USA,Million Cubic Feet,MMcf,201012,114763
USA,USA,Million Cubic Feet,MMcf,201011,109026
USA,USA,Million Cubic Feet,MMcf,201010,112815
USA,USA,Million Cubic Feet,MMcf,201009,107186
USA,USA,Million Cubic Feet,MMcf,201008,108019
USA,USA,Million Cubic Feet,MMcf,201007,106759
USA,USA,Million Cubic Feet,MMcf,201006,102824
USA,USA,Million Cubic Feet,MMcf,201005,107550
USA,USA,Million Cubic Feet,MMcf,201004,104763
USA,USA,Million Cubic Feet,MMcf,201003,108557
USA,USA,Million Cubic Feet,MMcf,201002,97743
USA,USA,Million Cubic Feet,MMcf,201001,105622
USA,USA,Million Cubic Feet,MMcf,200912,106179
USA,USA,Million Cubic Feet,MMcf,200911,103532
USA,USA,Million Cubic Feet,MMcf,200910,106913
USA,USA,Million Cubic Feet,MMcf,200909,102145
USA,USA,Million Cubic Feet,MMcf,200908,108525
USA,USA,Million Cubic Feet,MMcf,200907,107672
USA,USA,Million Cubic Feet,MMcf,200906,105563
USA,USA,Million Cubic Feet,MMcf,200905,108587
USA,USA,Million Cubic Feet,MMcf,200904,105047
USA,USA,Million Cubic Feet,MMcf,200903,110456
USA,USA,Million Cubic Feet,MMcf,200902,100434
USA,USA,Million Cubic Feet,MMcf,200901,110186
USA,USA,Million Cubic Feet,MMcf,200812,105549
USA,USA,Million Cubic Feet,MMcf,200811,101561
USA,USA,Million Cubic Feet,MMcf,200810,101348
USA,USA,Million Cubic Feet,MMcf,200809,90069
USA,USA,Million Cubic Feet,MMcf,200808,105516
USA,USA,Million Cubic Feet,MMcf,200807,107037
USA,USA,Million Cubic Feet,MMcf,200806,101738
USA,USA,Million Cubic Feet,MMcf,200805,103871
USA,USA,Million Cubic Feet,MMcf,200804,100538
USA,USA,Million Cubic Feet,MMcf,200803,104226
USA,USA,Million Cubic Feet,MMcf,200802,96255
USA,USA,Million Cubic Feet,MMcf,200801,101995
USA,USA,Million Cubic Feet,MMcf,200712,107796
USA,USA,Million Cubic Feet,MMcf,200711,103977
USA,USA,Million Cubic Feet,MMcf,200710,105256
USA,USA,Million Cubic Feet,MMcf,200709,101696
USA,USA,Million Cubic Feet,MMcf,200708,104005
USA,USA,Million Cubic Feet,MMcf,200707,103426
USA,USA,Million Cubic Feet,MMcf,200706,101193
USA,USA,Million Cubic Feet,MMcf,200705,104599
USA,USA,Million Cubic Feet,MMcf,200704,98777
USA,USA,Million Cubic Feet,MMcf,200703,103417
USA,USA,Million Cubic Feet,MMcf,200702,91902
USA,USA,Million Cubic Feet,MMcf,200701,100343
USA,USA,Million Cubic Feet,MMcf,200612,99566
USA,USA,Million Cubic Feet,MMcf,200611,95560
USA,USA,Million Cubic Feet,MMcf,200610,98383
USA,USA,Million Cubic Feet,MMcf,200609,94660
USA,USA,Million Cubic Feet,MMcf,200608,96815
USA,USA,Million Cubic Feet,MMcf,200607,96237
USA,USA,Million Cubic Feet,MMcf,200606,94355
USA,USA,Million Cubic Feet,MMcf,200605,95279
USA,USA,Million Cubic Feet,MMcf,200604,92558
USA,USA,Million Cubic Feet,MMcf,200603,96527
USA,USA,Million Cubic Feet,MMcf,200602,86529
USA,USA,Million Cubic Feet,MMcf,200601,95508
USA,USA,Million Cubic Feet,MMcf,200512,94239
USA,USA,Million Cubic Feet,MMcf,200511,89739
USA,USA,Million Cubic Feet,MMcf,200510,88025
USA,USA,Million Cubic Feet,MMcf,200509,83252
USA,USA,Million Cubic Feet,MMcf,200508,94493
USA,USA,Million Cubic Feet,MMcf,200507,94516
USA,USA,Million Cubic Feet,MMcf,200506,93862
USA,USA,Million Cubic Feet,MMcf,200505,95833
USA,USA,Million Cubic Feet,MMcf,200504,94125
USA,USA,Million Cubic Feet,MMcf,200503,98748
USA,USA,Million Cubic Feet,MMcf,200502,88430
USA,USA,Million Cubic Feet,MMcf,200501,96256
USA,USA,Million Cubic Feet,MMcf,200412,92299
USA,USA,Million Cubic Feet,MMcf,200411,89828
USA,USA,Million Cubic Feet,MMcf,200410,91736
USA,USA,Million Cubic Feet,MMcf,200409,87371
USA,USA,Million Cubic Feet,MMcf,200408,92594
USA,USA,Million Cubic Feet,MMcf,200407,92943
USA,USA,Million Cubic Feet,MMcf,200406,90387
USA,USA,Million Cubic Feet,MMcf,200405,92131
USA,USA,Million Cubic Feet,MMcf,200404,91478
USA,USA,Million Cubic Feet,MMcf,200403,95007
USA,USA,Million Cubic Feet,MMcf,200402,87746
USA,USA,Million Cubic Feet,MMcf,200401,94386
USA,USA,Million Cubic Feet,MMcf,200312,94005
USA,USA,Million Cubic Feet,MMcf,200311,91026
USA,USA,Million Cubic Feet,MMcf,200310,95213
USA,USA,Million Cubic Feet,MMcf,200309,92079
USA,USA,Million Cubic Feet,MMcf,200308,95576
USA,USA,Million Cubic Feet,MMcf,200307,93673
USA,USA,Million Cubic Feet,MMcf,200306,92521
USA,USA,Million Cubic Feet,MMcf,200305,95542
USA,USA,Million Cubic Feet,MMcf,200304,93569
USA,USA,Million Cubic Feet,MMcf,200303,97721
USA,USA,Million Cubic Feet,MMcf,200302,86364
USA,USA,Million Cubic Feet,MMcf,200301,94993
USA,USA,Million Cubic Feet,MMcf,200212,95259
USA,USA,Million Cubic Feet,MMcf,200211,91840
USA,USA,Million Cubic Feet,MMcf,200210,91673
USA,USA,Million Cubic Feet,MMcf,200209,89315
USA,USA,Million Cubic Feet,MMcf,200208,93998
USA,USA,Million Cubic Feet,MMcf,200207,95227
USA,USA,Million Cubic Feet,MMcf,200206,91805
USA,USA,Million Cubic Feet,MMcf,200205,94802
USA,USA,Million Cubic Feet,MMcf,200204,91995
USA,USA,Million Cubic Feet,MMcf,200203,95646
USA,USA,Million Cubic Feet,MMcf,200202,86015
USA,USA,Million Cubic Feet,MMcf,200201,95508
USA,USA,Million Cubic Feet,MMcf,200112,94379
USA,USA,Million Cubic Feet,MMcf,200111,91351
USA,USA,Million Cubic Feet,MMcf,200110,95679
USA,USA,Million Cubic Feet,MMcf,200109,91760
USA,USA,Million Cubic Feet,MMcf,200108,94087
USA,USA,Million Cubic Feet,MMcf,200107,93635
USA,USA,Million Cubic Feet,MMcf,200106,91218
USA,USA,Million Cubic Feet,MMcf,200105,94981
USA,USA,Million Cubic Feet,MMcf,200104,92602
USA,USA,Million Cubic Feet,MMcf,200103,96438
USA,USA,Million Cubic Feet,MMcf,200102,86821
USA,USA,Million Cubic Feet,MMcf,200101,95602
USA,USA,Million Cubic Feet,MMcf,200012,97918
USA,USA,Million Cubic Feet,MMcf,200011,94863
USA,USA,Million Cubic Feet,MMcf,200010,99714
USA,USA,Million Cubic Feet,MMcf,200009,94771
USA,USA,Million Cubic Feet,MMcf,200008,97934
USA,USA,Million Cubic Feet,MMcf,200007,97199
USA,USA,Million Cubic Feet,MMcf,200006,94095
USA,USA,Million Cubic Feet,MMcf,200005,96400
USA,USA,Million Cubic Feet,MMcf,200004,92790
USA,USA,Million Cubic Feet,MMcf,200003,98137
USA,USA,Million Cubic Feet,MMcf,200002,89676
USA,USA,Million Cubic Feet,MMcf,200001,97358
USA,USA,Million Cubic Feet,MMcf,199912,91919
USA,USA,Million Cubic Feet,MMcf,199911,89424
USA,USA,Million Cubic Feet,MMcf,199910,90965
USA,USA,Million Cubic Feet,MMcf,199909,87781
USA,USA,Million Cubic Feet,MMcf,199908,90693
USA,USA,Million Cubic Feet,MMcf,199907,90886
USA,USA,Million Cubic Feet,MMcf,199906,88321
USA,USA,Million Cubic Feet,MMcf,199905,90478
USA,USA,Million Cubic Feet,MMcf,199904,88809
USA,USA,Million Cubic Feet,MMcf,199903,92958
USA,USA,Million Cubic Feet,MMcf,199902,83973
USA,USA,Million Cubic Feet,MMcf,199901,93156
USA,USA,Million Cubic Feet,MMcf,199812,97338
USA,USA,Million Cubic Feet,MMcf,199811,94934
USA,USA,Million Cubic Feet,MMcf,199810,97983
USA,USA,Million Cubic Feet,MMcf,199809,90805
USA,USA,Million Cubic Feet,MMcf,199808,100027
USA,USA,Million Cubic Feet,MMcf,199807,99336
USA,USA,Million Cubic Feet,MMcf,199806,97533
USA,USA,Million Cubic Feet,MMcf,199805,101749
USA,USA,Million Cubic Feet,MMcf,199804,98122
USA,USA,Million Cubic Feet,MMcf,199803,101614
USA,USA,Million Cubic Feet,MMcf,199802,91025
USA,USA,Million Cubic Feet,MMcf,199801,102264
USA,USA,Million Cubic Feet,MMcf,199712,100271
USA,USA,Million Cubic Feet,MMcf,199711,98467
USA,USA,Million Cubic Feet,MMcf,199710,101652
USA,USA,Million Cubic Feet,MMcf,199709,98348
USA,USA,Million Cubic Feet,MMcf,199708,100660
USA,USA,Million Cubic Feet,MMcf,199707,100851
USA,USA,Million Cubic Feet,MMcf,199706,97083
USA,USA,Million Cubic Feet,MMcf,199705,102506
USA,USA,Million Cubic Feet,MMcf,199704,98734
USA,USA,Million Cubic Feet,MMcf,199703,103593
USA,USA,Million Cubic Feet,MMcf,199702,93301
USA,USA,Million Cubic Feet,MMcf,199701,102977
USA,USA,Million Cubic Feet,MMcf,199612,106254
