iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,2736765
USA,USA,Million Cubic Feet,MMcf,2019,2547631
USA,USA,Million Cubic Feet,MMcf,2018,2234593
USA,USA,Million Cubic Feet,MMcf,2017,1897242
USA,USA,Million Cubic Feet,MMcf,2016,1807934
USA,USA,Million Cubic Feet,MMcf,2015,1706584
USA,USA,Million Cubic Feet,MMcf,2014,1608148
USA,USA,Million Cubic Feet,MMcf,2013,1356709
USA,USA,Million Cubic Feet,MMcf,2012,1250012
USA,USA,Million Cubic Feet,MMcf,2011,1134473
USA,USA,Million Cubic Feet,MMcf,2010,1066366
USA,USA,Million Cubic Feet,MMcf,2009,1024082
USA,USA,Million Cubic Feet,MMcf,2008,953451
USA,USA,Million Cubic Feet,MMcf,2007,930320
USA,USA,Million Cubic Feet,MMcf,2006,906069
USA,USA,Million Cubic Feet,MMcf,2005,876497
USA,USA,Million Cubic Feet,MMcf,2004,926600
USA,USA,Million Cubic Feet,MMcf,2003,875816
USA,USA,Million Cubic Feet,MMcf,2002,956992
USA,USA,Million Cubic Feet,MMcf,2001,953984
USA,USA,Million Cubic Feet,MMcf,2000,1015542
USA,USA,Million Cubic Feet,MMcf,1999,972616
USA,USA,Million Cubic Feet,MMcf,1998,937798
USA,USA,Million Cubic Feet,MMcf,1997,963759
USA,USA,Million Cubic Feet,MMcf,1996,958178
USA,USA,Million Cubic Feet,MMcf,1995,907795
USA,USA,Million Cubic Feet,MMcf,1994,888500
USA,USA,Million Cubic Feet,MMcf,1993,886455
USA,USA,Million Cubic Feet,MMcf,1992,871905
USA,USA,Million Cubic Feet,MMcf,1991,834637
USA,USA,Million Cubic Feet,MMcf,1990,784118
USA,USA,Million Cubic Feet,MMcf,1989,784502
USA,USA,Million Cubic Feet,MMcf,1988,815844
USA,USA,Million Cubic Feet,MMcf,1987,812320
USA,USA,Million Cubic Feet,MMcf,1986,799645
USA,USA,Million Cubic Feet,MMcf,1985,816370
USA,USA,Million Cubic Feet,MMcf,1984,837863
USA,USA,Million Cubic Feet,MMcf,1983,789632
USA,USA,Million Cubic Feet,MMcf,1982,761944
USA,USA,Million Cubic Feet,MMcf,1981,774562
USA,USA,Million Cubic Feet,MMcf,1980,776605
USA,USA,Million Cubic Feet,MMcf,1979,807845
USA,USA,Million Cubic Feet,MMcf,1978,852130
USA,USA,Million Cubic Feet,MMcf,1977,862563
USA,USA,Million Cubic Feet,MMcf,1976,854086
USA,USA,Million Cubic Feet,MMcf,1975,872282
USA,USA,Million Cubic Feet,MMcf,1974,887490
USA,USA,Million Cubic Feet,MMcf,1973,916551
USA,USA,Million Cubic Feet,MMcf,1972,907993
USA,USA,Million Cubic Feet,MMcf,1971,883127
USA,USA,Million Cubic Feet,MMcf,1970,906413
USA,USA,Million Cubic Feet,MMcf,1969,866560
USA,USA,Million Cubic Feet,MMcf,1968,827877
USA,USA,Million Cubic Feet,MMcf,1967,784534
USA,USA,Million Cubic Feet,MMcf,1966,739308
USA,USA,Million Cubic Feet,MMcf,1965,753473
USA,USA,Million Cubic Feet,MMcf,1964,722565
USA,USA,Million Cubic Feet,MMcf,1963,670251
USA,USA,Million Cubic Feet,MMcf,1962,623616
USA,USA,Million Cubic Feet,MMcf,1961,592446
USA,USA,Million Cubic Feet,MMcf,1960,542890
USA,USA,Million Cubic Feet,MMcf,1959,498457
USA,USA,Million Cubic Feet,MMcf,1958,458040
USA,USA,Million Cubic Feet,MMcf,1957,433636
USA,USA,Million Cubic Feet,MMcf,1956,418013
USA,USA,Million Cubic Feet,MMcf,1955,376686
USA,USA,Million Cubic Feet,MMcf,1954,354348
USA,USA,Million Cubic Feet,MMcf,1953,340068
USA,USA,Million Cubic Feet,MMcf,1952,319158
USA,USA,Million Cubic Feet,MMcf,1951,292400
USA,USA,Million Cubic Feet,MMcf,1950,259862
USA,USA,Million Cubic Feet,MMcf,1949,224332
USA,USA,Million Cubic Feet,MMcf,1948,209508
USA,USA,Million Cubic Feet,MMcf,1947,188734
USA,USA,Million Cubic Feet,MMcf,1946,165274
USA,USA,Million Cubic Feet,MMcf,1945,159936
USA,USA,Million Cubic Feet,MMcf,1944,142868
USA,USA,Million Cubic Feet,MMcf,1943,121788
USA,USA,Million Cubic Feet,MMcf,1942,119000
USA,USA,Million Cubic Feet,MMcf,1941,115464
USA,USA,Million Cubic Feet,MMcf,1940,79526
USA,USA,Million Cubic Feet,MMcf,1939,73746
USA,USA,Million Cubic Feet,MMcf,1938,73338
USA,USA,Million Cubic Feet,MMcf,1937,70210
USA,USA,Million Cubic Feet,MMcf,1936,61064
USA,USA,Million Cubic Feet,MMcf,1935,55488
USA,USA,Million Cubic Feet,MMcf,1934,52190
USA,USA,Million Cubic Feet,MMcf,1933,48280
USA,USA,Million Cubic Feet,MMcf,1932,51816
USA,USA,Million Cubic Feet,MMcf,1931,62288
USA,USA,Million Cubic Feet,MMcf,1930,75140
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,19857
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,19821
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,19303
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,17516
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,17468
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,18434
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,20679
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,21470
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,21554
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,20835
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,22925
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,24337
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,26332
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,24638
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,27956
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,33044
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,33316
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,34706
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,36149
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,39324
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,38412
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,40120
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,41535
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,38453
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,35052
