iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,24745932
USA,USA,Million Cubic Feet,MMcf,2018,22145329
USA,USA,Million Cubic Feet,MMcf,2017,20388771
USA,USA,Million Cubic Feet,MMcf,2016,20366695
USA,USA,Million Cubic Feet,MMcf,2015,20651875
USA,USA,Million Cubic Feet,MMcf,2014,19754802
USA,USA,Million Cubic Feet,MMcf,2013,17884427
USA,USA,Million Cubic Feet,MMcf,2012,17538026
USA,USA,Million Cubic Feet,MMcf,2011,16566883
USA,USA,Million Cubic Feet,MMcf,2010,16267757
USA,USA,Million Cubic Feet,MMcf,2009,15904517
USA,USA,Million Cubic Feet,MMcf,2008,15316804
USA,USA,Million Cubic Feet,MMcf,2007,15663381
USA,USA,Million Cubic Feet,MMcf,2006,14682188
USA,USA,Million Cubic Feet,MMcf,2005,14915680
USA,USA,Million Cubic Feet,MMcf,2004,15190200
USA,USA,Million Cubic Feet,MMcf,2003,14697316
USA,USA,Million Cubic Feet,MMcf,2002,15920911
USA,USA,Million Cubic Feet,MMcf,2001,16511427
USA,USA,Million Cubic Feet,MMcf,2000,16998687
USA,USA,Million Cubic Feet,MMcf,1999,16662873
USA,USA,Million Cubic Feet,MMcf,1998,16557779
USA,USA,Million Cubic Feet,MMcf,1997,16836795
USA,USA,Million Cubic Feet,MMcf,1996,17470017
USA,USA,Million Cubic Feet,MMcf,1995,16930662
USA,USA,Million Cubic Feet,MMcf,1994,16459516
USA,USA,Million Cubic Feet,MMcf,1993,16396894
USA,USA,Million Cubic Feet,MMcf,1992,16045855
USA,USA,Million Cubic Feet,MMcf,1991,16229684
USA,USA,Million Cubic Feet,MMcf,1990,14610303
USA,USA,Million Cubic Feet,MMcf,1989,12810246
USA,USA,Million Cubic Feet,MMcf,1988,12794932
USA,USA,Million Cubic Feet,MMcf,1987,12874263
USA,USA,Million Cubic Feet,MMcf,1986,12949592
USA,USA,Million Cubic Feet,MMcf,1985,13434644
USA,USA,Million Cubic Feet,MMcf,1984,13946385
USA,USA,Million Cubic Feet,MMcf,1983,13173129
USA,USA,Million Cubic Feet,MMcf,1982,14163667
USA,USA,Million Cubic Feet,MMcf,1981,14816393
USA,USA,Million Cubic Feet,MMcf,1978,17012234
USA,USA,Million Cubic Feet,MMcf,1977,17569835
USA,USA,Million Cubic Feet,MMcf,1976,17717951
USA,USA,Million Cubic Feet,MMcf,1975,17748426
USA,USA,Million Cubic Feet,MMcf,1974,18684480
USA,USA,Million Cubic Feet,MMcf,1973,19679291
USA,USA,Million Cubic Feet,MMcf,1972,19947740
USA,USA,Million Cubic Feet,MMcf,1971,19252807
USA,USA,Million Cubic Feet,MMcf,1970,18509309
USA,USA,Million Cubic Feet,MMcf,1969,17655108
USA,USA,Million Cubic Feet,MMcf,1968,16316674
USA,USA,Million Cubic Feet,MMcf,1967,15641633
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,2821740
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,2824487
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,2789980
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,2789157
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,2729167
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,2735783
