iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,18972.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,14418.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,16658.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,17394.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,16529.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,16097.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,17715.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,19092.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,19092.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,19060.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,21374.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,22618.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,23956.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,26612.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,27205.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,27006.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,26580.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,26980.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,25320.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,26719.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,20146.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,20792.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,22131.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,20262.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,18697.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,18893.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,19882.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,20220.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,22252.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,47185.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1981,40090.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1980,40233.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2008,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2007,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2006,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2005,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2004,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2003,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2002,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2001,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2000,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1999,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1998,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1997,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,1996,
USA-CA,USA-CA,Million Cubic Feet,MMcf,2019,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2018,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2017,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2016,
USA-CA,USA-CA,Million Cubic Feet,MMcf,2015,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2014,
USA-CA,USA-CA,Million Cubic Feet,MMcf,2013,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2012,0.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2011,2624.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2010,3019.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2009,2879.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2008,3119.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2007,3178.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2006,3365.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2005,3153.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2004,3287.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2003,3478.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2002,3136.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2001,246.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,2000,263.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1999,208.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1998,726.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1997,239.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1996,932.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1995,920.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1994,1126.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1993,1130.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1992,1142.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1991,788.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1990,849.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1989,1103.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1988,832.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1987,3.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1986,5.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1985,127.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1984,95.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1983,437.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1982,540.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1981,371.0
USA-CA,USA-CA,Million Cubic Feet,MMcf,1980,349.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2019,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2018,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2017,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2016,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2015,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2014,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2013,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2012,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2011,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2010,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2009,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2008,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2007,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2006,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2005,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2004,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2003,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2002,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2001,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,2000,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1999,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1998,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1997,0.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1996,
USA-CO,USA-CO,Million Cubic Feet,MMcf,1990,9981.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1989,9971.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1988,13652.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1987,18776.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1986,9872.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1985,8763.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1984,6265.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1983,7549.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1982,3591.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1981,3440.0
USA-CO,USA-CO,Million Cubic Feet,MMcf,1980,2813.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2019,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2018,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2017,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2016,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2015,0.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2014,
USA-FL,USA-FL,Million Cubic Feet,MMcf,2013,0.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2012,0.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2011,2004.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2010,1529.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2009,32.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2008,306.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2007,222.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2006,304.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2005,337.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2004,402.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2003,387.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2002,431.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2001,736.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,2000,788.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1999,769.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1998,751.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1997,793.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1996,700.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1995,642.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1994,762.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1993,721.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1992,682.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1991,531.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1990,681.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1989,790.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1988,757.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1987,822.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1986,879.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1985,1045.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1984,1248.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1983,2103.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1982,2353.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1981,3468.0
USA-FL,USA-FL,Million Cubic Feet,MMcf,1980,5106.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2019,
USA-IL,USA-IL,Million Cubic Feet,MMcf,2018,
USA-IL,USA-IL,Million Cubic Feet,MMcf,2017,
USA-IL,USA-IL,Million Cubic Feet,MMcf,2016,
USA-IL,USA-IL,Million Cubic Feet,MMcf,2015,0.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2014,
USA-IL,USA-IL,Million Cubic Feet,MMcf,2013,0.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2012,0.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2011,0.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2010,0.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2009,0.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2008,0.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2007,0.0
USA-IL,USA-IL,Million Cubic Feet,MMcf,2006,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2019,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2018,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2017,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2016,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2015,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2014,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2013,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2012,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2011,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2010,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2009,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2008,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2007,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2006,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,2003,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,1998,0.0
USA-IN,USA-IN,Million Cubic Feet,MMcf,1997,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2019,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2018,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2017,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2016,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2015,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2014,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2013,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2012,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2011,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2010,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2009,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2008,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2007,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2006,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2005,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2004,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2003,0.0
USA-KS,USA-KS,Million Cubic Feet,MMcf,2002,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2019,
USA-KY,USA-KY,Million Cubic Feet,MMcf,2018,
USA-KY,USA-KY,Million Cubic Feet,MMcf,2017,
USA-KY,USA-KY,Million Cubic Feet,MMcf,2016,
USA-KY,USA-KY,Million Cubic Feet,MMcf,2015,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2014,
USA-KY,USA-KY,Million Cubic Feet,MMcf,2013,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2012,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2011,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2010,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2009,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2008,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2007,0.0
USA-KY,USA-KY,Million Cubic Feet,MMcf,2006,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2019,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2018,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2017,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2016,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2015,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2014,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2013,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2012,0.0
USA-LA,USA-LA,Million Cubic Feet,MMcf,2011,0.0
