iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,491205.0
USA,USA,Number of Elements,Count,2018,512675.0
USA,USA,Number of Elements,Count,2017,539875.0
USA,USA,Number of Elements,Count,2016,571659.0
USA,USA,Number of Elements,Count,2015,574530.0
USA,USA,Number of Elements,Count,2014,586213.0
USA,USA,Number of Elements,Count,2013,572742.0
USA,USA,Number of Elements,Count,2012,577916.0
USA,USA,Number of Elements,Count,2011,574593.0
USA,USA,Number of Elements,Count,2010,487627.0
USA,USA,Number of Elements,Count,2009,493100.0
USA,USA,Number of Elements,Count,2008,476652.0
USA,USA,Number of Elements,Count,2007,452945.0
USA,USA,Number of Elements,Count,2006,440516.0
USA,USA,Number of Elements,Count,2005,425887.0
USA,USA,Number of Elements,Count,2004,406147.0
USA,USA,Number of Elements,Count,2003,393327.0
USA,USA,Number of Elements,Count,2002,387772.0
USA,USA,Number of Elements,Count,2001,373304.0
USA,USA,Number of Elements,Count,2000,341678.0
USA,USA,Number of Elements,Count,1999,302421.0
USA,USA,Number of Elements,Count,1998,316929.0
USA,USA,Number of Elements,Count,1997,310971.0
USA,USA,Number of Elements,Count,1996,301811.0
USA,USA,Number of Elements,Count,1995,298541.0
USA,USA,Number of Elements,Count,1994,291773.0
USA,USA,Number of Elements,Count,1993,282152.0
USA,USA,Number of Elements,Count,1992,276014.0
USA,USA,Number of Elements,Count,1991,276987.0
USA,USA,Number of Elements,Count,1990,269790.0
USA,USA,Number of Elements,Count,1989,262483.0
USA-AK,USA-AK,Number of Elements,Count,2019,798.0
USA-AK,USA-AK,Number of Elements,Count,2018,824.0
USA-AK,USA-AK,Number of Elements,Count,2017,352.0
USA-AK,USA-AK,Number of Elements,Count,2016,303.0
USA-AK,USA-AK,Number of Elements,Count,2015,323.0
USA-AK,USA-AK,Number of Elements,Count,2014,338.0
USA-AK,USA-AK,Number of Elements,Count,2013,300.0
USA-AK,USA-AK,Number of Elements,Count,2012,281.0
USA-AK,USA-AK,Number of Elements,Count,2011,274.0
USA-AK,USA-AK,Number of Elements,Count,2010,269.0
USA-AK,USA-AK,Number of Elements,Count,2009,261.0
USA-AK,USA-AK,Number of Elements,Count,2008,261.0
USA-AK,USA-AK,Number of Elements,Count,2007,239.0
USA-AK,USA-AK,Number of Elements,Count,2006,231.0
USA-AK,USA-AK,Number of Elements,Count,2005,227.0
USA-AK,USA-AK,Number of Elements,Count,2004,224.0
USA-AK,USA-AK,Number of Elements,Count,2003,195.0
USA-AK,USA-AK,Number of Elements,Count,2002,165.0
USA-AK,USA-AK,Number of Elements,Count,2001,170.0
USA-AK,USA-AK,Number of Elements,Count,2000,152.0
USA-AK,USA-AK,Number of Elements,Count,1999,99.0
USA-AK,USA-AK,Number of Elements,Count,1998,148.0
USA-AK,USA-AK,Number of Elements,Count,1997,141.0
USA-AK,USA-AK,Number of Elements,Count,1996,102.0
USA-AK,USA-AK,Number of Elements,Count,1995,100.0
USA-AK,USA-AK,Number of Elements,Count,1994,104.0
USA-AK,USA-AK,Number of Elements,Count,1993,113.0
USA-AK,USA-AK,Number of Elements,Count,1992,112.0
USA-AK,USA-AK,Number of Elements,Count,1991,110.0
USA-AK,USA-AK,Number of Elements,Count,1990,111.0
USA-AK,USA-AK,Number of Elements,Count,1989,108.0
USA-AL,USA-AL,Number of Elements,Count,2019,5577.0
USA-AL,USA-AL,Number of Elements,Count,2018,5754.0
USA-AL,USA-AL,Number of Elements,Count,2017,5910.0
USA-AL,USA-AL,Number of Elements,Count,2016,5980.0
USA-AL,USA-AL,Number of Elements,Count,2015,6047.0
USA-AL,USA-AL,Number of Elements,Count,2014,6117.0
USA-AL,USA-AL,Number of Elements,Count,2013,6174.0
USA-AL,USA-AL,Number of Elements,Count,2012,6203.0
