iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,925530
USA,USA,Million Cubic Feet,MMcf,2019,944265
USA,USA,Million Cubic Feet,MMcf,2018,876535
USA,USA,Million Cubic Feet,MMcf,2017,722049
USA,USA,Million Cubic Feet,MMcf,2016,686732
USA,USA,Million Cubic Feet,MMcf,2015,678183
USA,USA,Million Cubic Feet,MMcf,2014,700150
USA,USA,Million Cubic Feet,MMcf,2013,833061
USA,USA,Million Cubic Feet,MMcf,2012,730790
USA,USA,Million Cubic Feet,MMcf,2011,687784
USA,USA,Million Cubic Feet,MMcf,2010,674124
USA,USA,Million Cubic Feet,MMcf,2009,670174
USA,USA,Million Cubic Feet,MMcf,2008,647956
USA,USA,Million Cubic Feet,MMcf,2007,621364
USA,USA,Million Cubic Feet,MMcf,2006,584213
USA,USA,Million Cubic Feet,MMcf,2005,584026
USA,USA,Million Cubic Feet,MMcf,2004,566187
USA,USA,Million Cubic Feet,MMcf,2003,591492
USA,USA,Million Cubic Feet,MMcf,2002,666920
USA,USA,Million Cubic Feet,MMcf,2001,624964
USA,USA,Million Cubic Feet,MMcf,2000,642210
USA,USA,Million Cubic Feet,MMcf,1999,645319
USA,USA,Million Cubic Feet,MMcf,1998,635477
USA,USA,Million Cubic Feet,MMcf,1997,751470
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,349
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,561
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,348
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,442
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,615
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,328
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,544
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,3974
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,3409
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,3284
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,2318
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,2047
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,2115
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,2825
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,2617
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,3798
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,4064
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,4363
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,5070
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,7365
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,7250
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,5564
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,4938
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,23112
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,25393
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,21224
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,21259
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,21508
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,18789
