iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,202102,92212
USA,USA,Million Cubic Feet,MMcf,202101,99781
USA,USA,Million Cubic Feet,MMcf,202012,95900
USA,USA,Million Cubic Feet,MMcf,202011,74097
USA,USA,Million Cubic Feet,MMcf,202010,70538
USA,USA,Million Cubic Feet,MMcf,202009,66017
USA,USA,Million Cubic Feet,MMcf,202008,73005
USA,USA,Million Cubic Feet,MMcf,202007,75683
USA,USA,Million Cubic Feet,MMcf,202006,64835
USA,USA,Million Cubic Feet,MMcf,202005,62887
USA,USA,Million Cubic Feet,MMcf,202004,68168
USA,USA,Million Cubic Feet,MMcf,202003,82237
USA,USA,Million Cubic Feet,MMcf,202002,92084
USA,USA,Million Cubic Feet,MMcf,202001,100079
USA,USA,Million Cubic Feet,MMcf,201912,96342
USA,USA,Million Cubic Feet,MMcf,201911,84599
USA,USA,Million Cubic Feet,MMcf,201910,69923
USA,USA,Million Cubic Feet,MMcf,201909,66588
USA,USA,Million Cubic Feet,MMcf,201908,73628
USA,USA,Million Cubic Feet,MMcf,201907,72745
USA,USA,Million Cubic Feet,MMcf,201906,63569
USA,USA,Million Cubic Feet,MMcf,201905,63644
USA,USA,Million Cubic Feet,MMcf,201904,66388
USA,USA,Million Cubic Feet,MMcf,201903,88906
USA,USA,Million Cubic Feet,MMcf,201902,92749
USA,USA,Million Cubic Feet,MMcf,201901,105186
USA,USA,Million Cubic Feet,MMcf,201812,87724
USA,USA,Million Cubic Feet,MMcf,201811,79115
USA,USA,Million Cubic Feet,MMcf,201810,65791
USA,USA,Million Cubic Feet,MMcf,201809,61997
USA,USA,Million Cubic Feet,MMcf,201808,66785
USA,USA,Million Cubic Feet,MMcf,201807,68011
USA,USA,Million Cubic Feet,MMcf,201806,59376
USA,USA,Million Cubic Feet,MMcf,201805,59007
USA,USA,Million Cubic Feet,MMcf,201804,68299
USA,USA,Million Cubic Feet,MMcf,201803,81905
USA,USA,Million Cubic Feet,MMcf,201802,79713
USA,USA,Million Cubic Feet,MMcf,201801,98811
USA,USA,Million Cubic Feet,MMcf,201712,83080
USA,USA,Million Cubic Feet,MMcf,201711,62661
USA,USA,Million Cubic Feet,MMcf,201710,53456
USA,USA,Million Cubic Feet,MMcf,201709,50513
USA,USA,Million Cubic Feet,MMcf,201708,55349
USA,USA,Million Cubic Feet,MMcf,201707,56698
USA,USA,Million Cubic Feet,MMcf,201706,50330
USA,USA,Million Cubic Feet,MMcf,201705,49723
USA,USA,Million Cubic Feet,MMcf,201704,50973
USA,USA,Million Cubic Feet,MMcf,201703,67554
USA,USA,Million Cubic Feet,MMcf,201702,62816
USA,USA,Million Cubic Feet,MMcf,201701,78712
USA,USA,Million Cubic Feet,MMcf,201612,72600
USA,USA,Million Cubic Feet,MMcf,201611,53930
USA,USA,Million Cubic Feet,MMcf,201610,47637
USA,USA,Million Cubic Feet,MMcf,201609,48332
USA,USA,Million Cubic Feet,MMcf,201608,55109
USA,USA,Million Cubic Feet,MMcf,201607,54504
USA,USA,Million Cubic Feet,MMcf,201606,49713
USA,USA,Million Cubic Feet,MMcf,201605,48644
USA,USA,Million Cubic Feet,MMcf,201604,51848
USA,USA,Million Cubic Feet,MMcf,201603,58956
USA,USA,Million Cubic Feet,MMcf,201602,66993
USA,USA,Million Cubic Feet,MMcf,201601,78465
USA,USA,Million Cubic Feet,MMcf,201512,64859
USA,USA,Million Cubic Feet,MMcf,201511,56016
USA,USA,Million Cubic Feet,MMcf,201510,48969
USA,USA,Million Cubic Feet,MMcf,201509,46786
USA,USA,Million Cubic Feet,MMcf,201508,50694
USA,USA,Million Cubic Feet,MMcf,201507,51094
USA,USA,Million Cubic Feet,MMcf,201506,46785
USA,USA,Million Cubic Feet,MMcf,201505,45560
USA,USA,Million Cubic Feet,MMcf,201504,49581
USA,USA,Million Cubic Feet,MMcf,201503,64931
USA,USA,Million Cubic Feet,MMcf,201502,74108
USA,USA,Million Cubic Feet,MMcf,201501,78800
USA,USA,Million Cubic Feet,MMcf,201412,71090
USA,USA,Million Cubic Feet,MMcf,201411,62258
USA,USA,Million Cubic Feet,MMcf,201410,49702
USA,USA,Million Cubic Feet,MMcf,201409,46966
USA,USA,Million Cubic Feet,MMcf,201408,50302
USA,USA,Million Cubic Feet,MMcf,201407,48869
USA,USA,Million Cubic Feet,MMcf,201406,45272
USA,USA,Million Cubic Feet,MMcf,201405,46987
USA,USA,Million Cubic Feet,MMcf,201404,51310
USA,USA,Million Cubic Feet,MMcf,201403,67924
USA,USA,Million Cubic Feet,MMcf,201402,73402
USA,USA,Million Cubic Feet,MMcf,201401,86069
USA,USA,Million Cubic Feet,MMcf,201312,94357
USA,USA,Million Cubic Feet,MMcf,201311,74032
USA,USA,Million Cubic Feet,MMcf,201310,58737
