iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,3.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,2.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,1.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.01
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.29
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.27
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,1.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,1.7
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,1.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,1.87
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,1.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.01
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1987,2.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,2.52
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,2.92
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1984,3.04
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1983,3.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1982,2.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1981,2.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1980,1.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1979,1.32
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1978,0.9
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1977,0.77
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1976,0.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1975,0.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1974,0.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1973,0.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1972,0.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1971,0.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1970,0.21
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1969,0.21
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1968,0.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1967,0.2
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2005,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2004,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2003,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2002,
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2001,1.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2000,1.34
