iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2019,489000
USA,USA,Million Cubic Feet,MMcf,2018,446192
USA,USA,Million Cubic Feet,MMcf,2017,423071
USA,USA,Million Cubic Feet,MMcf,2016,419242
USA,USA,Million Cubic Feet,MMcf,2015,437135
USA,USA,Million Cubic Feet,MMcf,2014,425238
USA,USA,Million Cubic Feet,MMcf,2013,414796
USA,USA,Million Cubic Feet,MMcf,2012,408316
USA,USA,Million Cubic Feet,MMcf,2011,384248
USA,USA,Million Cubic Feet,MMcf,2010,368830
USA,USA,Million Cubic Feet,MMcf,2009,362009
USA,USA,Million Cubic Feet,MMcf,2008,355590
USA,USA,Million Cubic Feet,MMcf,2007,365323
USA,USA,Million Cubic Feet,MMcf,2006,358985
USA,USA,Million Cubic Feet,MMcf,2005,355193
USA,USA,Million Cubic Feet,MMcf,2004,366341
USA,USA,Million Cubic Feet,MMcf,2003,363903
USA,USA,Million Cubic Feet,MMcf,2002,382503
USA,USA,Million Cubic Feet,MMcf,2001,371141
USA,USA,Million Cubic Feet,MMcf,2000,404059
USA,USA,Million Cubic Feet,MMcf,1999,399509
USA,USA,Million Cubic Feet,MMcf,1998,401314
USA,USA,Million Cubic Feet,MMcf,1997,426873
USA,USA,Million Cubic Feet,MMcf,1996,450033
USA,USA,Million Cubic Feet,MMcf,1995,427853
USA,USA,Million Cubic Feet,MMcf,1994,423878
USA,USA,Million Cubic Feet,MMcf,1993,448822
USA,USA,Million Cubic Feet,MMcf,1992,460571
USA,USA,Million Cubic Feet,MMcf,1991,456954
USA,USA,Million Cubic Feet,MMcf,1990,428657
USA,USA,Million Cubic Feet,MMcf,1989,429269
USA,USA,Million Cubic Feet,MMcf,1988,398180
USA,USA,Million Cubic Feet,MMcf,1987,408115
USA,USA,Million Cubic Feet,MMcf,1986,348731
USA,USA,Million Cubic Feet,MMcf,1985,367572
USA,USA,Million Cubic Feet,MMcf,1984,389525
USA,USA,Million Cubic Feet,MMcf,1983,383077
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,39104
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,40545
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,38757
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,37370
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,37615
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,36707
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,36638
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,37397
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,35339
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,37316
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,39447
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,40286
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,41197
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,38938
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,43386
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,44016
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,44762
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,44008
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,42243
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,42519
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,41149
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,39601
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,40706
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,40334
