iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202102,6.52
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202101,6.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202012,6.38
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202011,6.46
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202010,5.78
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202009,5.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202008,5.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202007,5.61
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202006,5.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202005,5.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202004,4.67
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202003,4.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202002,5.04
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202001,5.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201912,5.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201911,5.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201910,5.31
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201909,5.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201908,5.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201907,5.29
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201906,4.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201905,4.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201904,4.7
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201903,4.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201902,5.06
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201901,5.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201812,6.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201811,5.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201810,4.92
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201809,4.78
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201808,5.33
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201807,5.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,4.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201805,5.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201804,4.56
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201803,4.45
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201802,5.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201801,4.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201712,4.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201711,4.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201710,4.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201709,3.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201708,3.88
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201707,4.26
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201706,4.61
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201705,4.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201704,5.16
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201703,4.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201702,5.99
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201701,6.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201612,4.68
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201611,4.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201610,3.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201609,5.11
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201608,5.13
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201607,5.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201606,4.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201605,4.21
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201604,3.96
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201603,4.01
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201602,3.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201601,10.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201512,15.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201511,16.67
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201510,6.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201509,7.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201508,7.91
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201507,8.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201506,7.82
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201505,7.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201504,10.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201503,11.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201502,12.87
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201501,17.39
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201412,13.5
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201411,12.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201410,15.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201409,15.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201408,16.01
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201407,16.01
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201406,12.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201405,15.78
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201404,13.23
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201403,14.31
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201402,15.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201401,13.7
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201312,12.69
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201311,13.45
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201310,13.09
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201309,13.53
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201308,13.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201307,12.89
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201306,13.38
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201305,12.84
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201304,11.36
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201303,10.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201302,10.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201301,10.11
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201212,11.76
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201211,8.86
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201210,11.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201209,8.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201208,15.15
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201207,8.49
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201206,17.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201205,16.1
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201204,8.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201203,10.67
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201202,11.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201201,11.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201112,12.83
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201111,15.29
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201110,12.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201109,12.76
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201108,11.6
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201107,12.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201106,11.6
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201105,8.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201104,8.25
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201103,10.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201102,9.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201101,8.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201012,8.5
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201011,8.18
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201010,9.04
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201009,9.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201008,13.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201007,12.83
