iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2020,4.6
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2019,7.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2018,6.56
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2017,4.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2016,4.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2015,7.37
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2014,8.85
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2013,6.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2012,4.27
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2011,5.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2010,4.94
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2009,4.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2008,10.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2007,7.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2006,7.19
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2005,8.26
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2004,5.82
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.79
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2002,3.41
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.35
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.5
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1999,2.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1998,2.63
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1997,2.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1996,2.8
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1995,2.3
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1994,2.28
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1993,2.2
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1992,2.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1991,2.36
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1990,2.47
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1989,2.22
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1988,2.71
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1986,4.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,1985,4.6
