iso3166,geography,units,unitsshort,period,value
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202102,9.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202101,7.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202012,5.54
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202011,6.93
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202010,4.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202009,3.4
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202008,1.52
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202007,4.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202006,1.61
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202005,4.26
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202004,1.48
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202003,4.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202002,5.67
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,202001,6.03
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201912,6.17
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201911,7.12
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201910,4.65
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201909,
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201908,4.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201907,6.73
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201906,8.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201905,7.66
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201904,7.32
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201903,7.7
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201902,8.97
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201901,9.36
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201812,8.64
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201811,10.7
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201810,5.9
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201809,5.02
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201808,3.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201807,3.72
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201806,4.62
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201805,4.61
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201804,4.57
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201803,7.07
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201802,5.95
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201801,7.51
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201712,5.55
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201711,3.59
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201710,4.41
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201709,4.08
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201708,3.34
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201707,3.44
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201706,3.58
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201705,3.86
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201704,3.74
USA,USA,Dollars per Thousand Cubic Feet,$/Mcf,201703,4.35
