iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,465405.0
USA,USA,Billion Cubic Feet,Bcf,2018,474821.0
USA,USA,Billion Cubic Feet,Bcf,2017,438460.0
USA,USA,Billion Cubic Feet,Bcf,2016,322234.0
USA,USA,Billion Cubic Feet,Bcf,2015,307730.0
USA,USA,Billion Cubic Feet,Bcf,2014,368704.0
USA,USA,Billion Cubic Feet,Bcf,2013,338264.0
USA,USA,Billion Cubic Feet,Bcf,2012,308036.0
USA,USA,Billion Cubic Feet,Bcf,2011,334067.0
USA,USA,Billion Cubic Feet,Bcf,2010,304625.0
USA,USA,Billion Cubic Feet,Bcf,2009,272509.0
USA,USA,Billion Cubic Feet,Bcf,2008,244656.0
USA,USA,Billion Cubic Feet,Bcf,2007,237726.0
USA,USA,Billion Cubic Feet,Bcf,2006,211085.0
USA,USA,Billion Cubic Feet,Bcf,2005,204385.0
USA,USA,Billion Cubic Feet,Bcf,2004,192513.0
USA,USA,Billion Cubic Feet,Bcf,2003,189044.0
USA,USA,Billion Cubic Feet,Bcf,2002,186946.0
USA,USA,Billion Cubic Feet,Bcf,2001,183460.0
USA,USA,Billion Cubic Feet,Bcf,2000,177427.0
USA,USA,Billion Cubic Feet,Bcf,1999,167406.0
USA,USA,Billion Cubic Feet,Bcf,1998,164041.0
USA,USA,Billion Cubic Feet,Bcf,1997,167223.0
USA,USA,Billion Cubic Feet,Bcf,1996,166474.0
USA,USA,Billion Cubic Feet,Bcf,1995,165146.0
USA,USA,Billion Cubic Feet,Bcf,1994,163837.0
USA,USA,Billion Cubic Feet,Bcf,1993,162415.0
USA,USA,Billion Cubic Feet,Bcf,1992,165015.0
USA,USA,Billion Cubic Feet,Bcf,1991,167062.0
USA,USA,Billion Cubic Feet,Bcf,1990,169346.0
USA,USA,Billion Cubic Feet,Bcf,1989,167116.0
USA,USA,Billion Cubic Feet,Bcf,1988,168024.0
USA,USA,Billion Cubic Feet,Bcf,1987,187211.0
USA,USA,Billion Cubic Feet,Bcf,1986,191586.0
USA,USA,Billion Cubic Feet,Bcf,1985,193369.0
USA,USA,Billion Cubic Feet,Bcf,1984,197463.0
USA,USA,Billion Cubic Feet,Bcf,1983,200247.0
USA,USA,Billion Cubic Feet,Bcf,1982,201512.0
USA,USA,Billion Cubic Feet,Bcf,1981,201730.0
USA,USA,Billion Cubic Feet,Bcf,1980,199021.0
USA,USA,Billion Cubic Feet,Bcf,1979,200997.0
USA,USA,Billion Cubic Feet,Bcf,1978,208033.0
USA,USA,Billion Cubic Feet,Bcf,1977,207413.0
USA,USA,Billion Cubic Feet,Bcf,1976,216026.0
USA,USA,Billion Cubic Feet,Bcf,1975,228200.0
USA,USA,Billion Cubic Feet,Bcf,1974,237132.0
USA,USA,Billion Cubic Feet,Bcf,1973,249950.0
USA,USA,Billion Cubic Feet,Bcf,1972,266085.0
USA,USA,Billion Cubic Feet,Bcf,1971,278806.0
USA,USA,Billion Cubic Feet,Bcf,1970,290746.0
USA,USA,Billion Cubic Feet,Bcf,1969,275109.0
USA,USA,Billion Cubic Feet,Bcf,1968,287350.0
USA,USA,Billion Cubic Feet,Bcf,1967,292908.0
USA,USA,Billion Cubic Feet,Bcf,1966,289333.0
USA,USA,Billion Cubic Feet,Bcf,1965,286469.0
USA,USA,Billion Cubic Feet,Bcf,1964,281251.0
USA,USA,Billion Cubic Feet,Bcf,1963,276151.0
USA,USA,Billion Cubic Feet,Bcf,1962,272279.0
USA,USA,Billion Cubic Feet,Bcf,1961,266274.0
USA,USA,Billion Cubic Feet,Bcf,1960,262326.0
USA,USA,Billion Cubic Feet,Bcf,1959,261170.0
USA,USA,Billion Cubic Feet,Bcf,1958,252762.0
USA,USA,Billion Cubic Feet,Bcf,1957,245230.0
USA,USA,Billion Cubic Feet,Bcf,1956,236483.0
USA,USA,Billion Cubic Feet,Bcf,1955,222483.0
USA,USA,Billion Cubic Feet,Bcf,1954,210561.0
