iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,32894.0
USA,USA,Billion Cubic Feet,Bcf,2018,36719.0
USA,USA,Billion Cubic Feet,Bcf,2017,44738.0
USA,USA,Billion Cubic Feet,Bcf,2016,18797.0
USA,USA,Billion Cubic Feet,Bcf,2015,15231.0
USA,USA,Billion Cubic Feet,Bcf,2014,26675.0
USA,USA,Billion Cubic Feet,Bcf,2013,10810.0
USA,USA,Billion Cubic Feet,Bcf,2012,7518.0
USA,USA,Billion Cubic Feet,Bcf,2011,46241.0
USA,USA,Billion Cubic Feet,Bcf,2010,12748.0
USA,USA,Billion Cubic Feet,Bcf,2009,3968.0
USA,USA,Billion Cubic Feet,Bcf,2008,8498.0
USA,USA,Billion Cubic Feet,Bcf,2007,15148.0
USA,USA,Billion Cubic Feet,Bcf,2006,25846.0
USA,USA,Billion Cubic Feet,Bcf,2005,11674.0
USA,USA,Billion Cubic Feet,Bcf,2004,12950.0
USA,USA,Billion Cubic Feet,Bcf,2003,11208.0
USA,USA,Billion Cubic Feet,Bcf,2002,10546.0
USA,USA,Billion Cubic Feet,Bcf,2001,14010.0
USA,USA,Billion Cubic Feet,Bcf,2000,24409.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2019,39.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2018,769.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2017,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2016,26.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2015,1.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2014,193.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2013,272.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2012,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2011,221.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2010,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2009,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2008,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2007,6.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2006,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2005,98.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2004,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2003,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2002,13.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2001,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2000,4348.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2019,531.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2018,27.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2017,163.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2016,37.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2015,175.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2014,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2013,183.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2012,21.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2011,383.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2010,148.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2009,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2008,21.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2007,379.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2006,253.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2005,431.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2004,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2003,264.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2002,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2001,3.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2000,237.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2019,262.0
