iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,-10055.0
USA,USA,Billion Cubic Feet,Bcf,2018,7438.0
USA,USA,Billion Cubic Feet,Bcf,2017,17680.0
USA,USA,Billion Cubic Feet,Bcf,2016,5652.0
USA,USA,Billion Cubic Feet,Bcf,2015,9998.0
USA,USA,Billion Cubic Feet,Bcf,2014,2256.0
USA,USA,Billion Cubic Feet,Bcf,2013,543.0
USA,USA,Billion Cubic Feet,Bcf,2012,-1588.0
USA,USA,Billion Cubic Feet,Bcf,2011,1731.0
USA,USA,Billion Cubic Feet,Bcf,2010,509.0
USA,USA,Billion Cubic Feet,Bcf,2009,5098.0
USA,USA,Billion Cubic Feet,Bcf,2008,207.0
USA,USA,Billion Cubic Feet,Bcf,2007,1147.0
USA,USA,Billion Cubic Feet,Bcf,2006,743.0
USA,USA,Billion Cubic Feet,Bcf,2005,1887.0
USA,USA,Billion Cubic Feet,Bcf,2004,-114.0
USA,USA,Billion Cubic Feet,Bcf,2003,2841.0
USA,USA,Billion Cubic Feet,Bcf,2002,3727.0
USA,USA,Billion Cubic Feet,Bcf,2001,2742.0
USA,USA,Billion Cubic Feet,Bcf,2000,-891.0
USA,USA,Billion Cubic Feet,Bcf,1999,982.0
USA,USA,Billion Cubic Feet,Bcf,1998,-1635.0
USA,USA,Billion Cubic Feet,Bcf,1997,-590.0
USA,USA,Billion Cubic Feet,Bcf,1996,3785.0
USA,USA,Billion Cubic Feet,Bcf,1995,580.0
USA,USA,Billion Cubic Feet,Bcf,1994,1945.0
USA,USA,Billion Cubic Feet,Bcf,1993,972.0
USA,USA,Billion Cubic Feet,Bcf,1992,2235.0
USA,USA,Billion Cubic Feet,Bcf,1991,2960.0
USA,USA,Billion Cubic Feet,Bcf,1990,1557.0
USA,USA,Billion Cubic Feet,Bcf,1989,3013.0
USA,USA,Billion Cubic Feet,Bcf,1988,2193.0
USA,USA,Billion Cubic Feet,Bcf,1987,1268.0
USA,USA,Billion Cubic Feet,Bcf,1986,1320.0
USA,USA,Billion Cubic Feet,Bcf,1985,-1708.0
USA,USA,Billion Cubic Feet,Bcf,1984,-2241.0
USA,USA,Billion Cubic Feet,Bcf,1983,3090.0
USA,USA,Billion Cubic Feet,Bcf,1982,2378.0
USA,USA,Billion Cubic Feet,Bcf,1981,1627.0
USA,USA,Billion Cubic Feet,Bcf,1980,1201.0
USA,USA,Billion Cubic Feet,Bcf,1979,-2264.0
USA,USA,Billion Cubic Feet,Bcf,1978,2429.0
USA,USA,Billion Cubic Feet,Bcf,1977,-20.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2019,-434.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2018,86.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2017,318.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2016,104.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2015,229.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2014,-21.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2013,-5.0
