iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,82187.0
USA,USA,Billion Cubic Feet,Bcf,2018,65495.0
USA,USA,Billion Cubic Feet,Bcf,2017,29624.0
USA,USA,Billion Cubic Feet,Bcf,2016,53686.0
USA,USA,Billion Cubic Feet,Bcf,2015,114179.0
USA,USA,Billion Cubic Feet,Bcf,2014,51463.0
USA,USA,Billion Cubic Feet,Bcf,2013,44461.0
USA,USA,Billion Cubic Feet,Bcf,2012,84619.0
USA,USA,Billion Cubic Feet,Bcf,2011,53473.0
USA,USA,Billion Cubic Feet,Bcf,2010,36571.0
USA,USA,Billion Cubic Feet,Bcf,2009,33035.0
USA,USA,Billion Cubic Feet,Bcf,2008,33802.0
USA,USA,Billion Cubic Feet,Bcf,2007,16713.0
USA,USA,Billion Cubic Feet,Bcf,2006,22669.0
USA,USA,Billion Cubic Feet,Bcf,2005,19654.0
USA,USA,Billion Cubic Feet,Bcf,2004,26149.0
USA,USA,Billion Cubic Feet,Bcf,2003,21550.0
USA,USA,Billion Cubic Feet,Bcf,2002,19318.0
USA,USA,Billion Cubic Feet,Bcf,2001,20676.0
USA,USA,Billion Cubic Feet,Bcf,2000,16226.0
USA,USA,Billion Cubic Feet,Bcf,1999,31663.0
USA,USA,Billion Cubic Feet,Bcf,1998,22263.0
USA,USA,Billion Cubic Feet,Bcf,1997,16756.0
USA,USA,Billion Cubic Feet,Bcf,1996,13046.0
USA,USA,Billion Cubic Feet,Bcf,1995,12731.0
USA,USA,Billion Cubic Feet,Bcf,1994,15881.0
USA,USA,Billion Cubic Feet,Bcf,1993,12248.0
USA,USA,Billion Cubic Feet,Bcf,1992,11962.0
USA,USA,Billion Cubic Feet,Bcf,1991,15474.0
USA,USA,Billion Cubic Feet,Bcf,1990,13443.0
USA,USA,Billion Cubic Feet,Bcf,1989,23643.0
USA,USA,Billion Cubic Feet,Bcf,1988,38427.0
USA,USA,Billion Cubic Feet,Bcf,1987,14231.0
USA,USA,Billion Cubic Feet,Bcf,1986,17697.0
USA,USA,Billion Cubic Feet,Bcf,1985,16304.0
USA,USA,Billion Cubic Feet,Bcf,1984,14712.0
USA,USA,Billion Cubic Feet,Bcf,1983,17617.0
USA,USA,Billion Cubic Feet,Bcf,1982,19340.0
USA,USA,Billion Cubic Feet,Bcf,1981,13813.0
USA,USA,Billion Cubic Feet,Bcf,1980,15923.0
USA,USA,Billion Cubic Feet,Bcf,1979,16629.0
USA,USA,Billion Cubic Feet,Bcf,1978,15994.0
USA,USA,Billion Cubic Feet,Bcf,1977,15296.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2019,120.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2018,569.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2017,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2016,1839.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2015,2217.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2014,685.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2013,2400.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2012,339.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2011,206.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2010,452.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2009,108.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2008,4068.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2007,112.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2006,376.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2005,154.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2004,207.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2003,235.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2002,118.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2001,335.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2000,2093.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1999,3525.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1998,125.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1997,99.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1996,171.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1995,51.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1994,49.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1993,109.0
