iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,17198.0
USA,USA,Billion Cubic Feet,Bcf,2018,23817.0
USA,USA,Billion Cubic Feet,Bcf,2017,23718.0
USA,USA,Billion Cubic Feet,Bcf,2016,18411.0
USA,USA,Billion Cubic Feet,Bcf,2015,14016.0
USA,USA,Billion Cubic Feet,Bcf,2014,20373.0
USA,USA,Billion Cubic Feet,Bcf,2013,9558.0
USA,USA,Billion Cubic Feet,Bcf,2012,9318.0
USA,USA,Billion Cubic Feet,Bcf,2011,43186.0
USA,USA,Billion Cubic Feet,Bcf,2010,10153.0
USA,USA,Billion Cubic Feet,Bcf,2009,4109.0
USA,USA,Billion Cubic Feet,Bcf,2008,7603.0
USA,USA,Billion Cubic Feet,Bcf,2007,14740.0
USA,USA,Billion Cubic Feet,Bcf,2006,22850.0
USA,USA,Billion Cubic Feet,Bcf,2005,9130.0
USA,USA,Billion Cubic Feet,Bcf,2004,11106.0
USA,USA,Billion Cubic Feet,Bcf,2003,10174.0
USA,USA,Billion Cubic Feet,Bcf,2002,10166.0
USA,USA,Billion Cubic Feet,Bcf,2001,11380.0
USA,USA,Billion Cubic Feet,Bcf,2000,20378.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2019,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2018,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2017,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2016,174.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2015,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2014,165.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2013,91.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2012,2.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2011,36.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2010,131.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2009,5.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2008,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2007,10.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2006,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2005,96.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2004,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2003,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2002,13.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2001,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2000,4531.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2019,305.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2018,82.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2017,475.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2016,43.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2015,175.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2014,2.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2013,357.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2012,11.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2011,573.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2010,263.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2009,2.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2008,10.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2007,302.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2006,188.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2005,419.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2004,29.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2003,246.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2002,6.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2001,1.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2000,140.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2019,195.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2018,5848.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2017,8.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2016,9.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2015,188.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2014,248.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2013,4.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2012,1.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2011,6760.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2010,393.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2009,54.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2008,19.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2007,298.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2006,4.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2005,31.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2004,24.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2003,63.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2002,66.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2001,8.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2000,336.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,35.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,1155.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,70.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,284.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,47.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,164.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,274.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,201.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,128.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,60.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,49.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,51.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2019,2217.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2018,911.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2017,1402.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2016,2795.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2015,198.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2014,693.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2013,584.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2012,1667.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2011,1244.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2010,242.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2009,374.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2008,747.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2007,750.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2006,1539.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2005,1238.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2004,2528.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2003,429.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2002,1059.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2001,2468.0
USA-CO,USA-CO,Billion Cubic Feet,Bcf,2000,1049.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2019,
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2018,
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2017,
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2016,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2015,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2014,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2013,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2012,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2011,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2010,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2009,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2008,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2007,47.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2006,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2005,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2004,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2003,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2002,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2001,0.0
USA-FL,USA-FL,Billion Cubic Feet,Bcf,2000,0.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2019,771.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2018,4.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2017,457.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2016,304.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2015,6.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2014,1092.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2013,31.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2012,887.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2011,124.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2010,17.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2009,2.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2008,17.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2007,65.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2006,18.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2005,44.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2004,140.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2003,230.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2002,43.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2001,259.0
USA-KS,USA-KS,Billion Cubic Feet,Bcf,2000,190.0
USA-KY,USA-KY,Billion Cubic Feet,Bcf,2019,0.0
USA-KY,USA-KY,Billion Cubic Feet,Bcf,2018,914.0
