iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2020,11.13
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2019,11.11
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2018,10.99
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2017,10.52
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2016,9.81
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2015,9.64
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2014,9.11
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2013,8.85
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2012,8.47
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2011,8.77
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2010,8.89
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2009,10.23
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2008,8.72
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2007,8.68
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2006,6.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2005,5.73
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2004,4.88
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2003,4.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2002,4.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2001,4.23
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,2000,3.58
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1999,3.64
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1998,3.67
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,1997,3.77
