iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202102,10.56
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202101,10.58
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202012,10.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202011,10.61
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202010,11.1
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202009,12.27
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202008,13.78
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202007,14.19
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202006,13.47
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202005,12.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202004,11.36
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202003,10.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202002,10.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,202001,10.55
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201912,10.78
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201911,11.08
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201910,11.48
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201909,12.62
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201908,14.78
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201907,15.28
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201906,13.82
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201905,11.58
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201904,11.05
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201903,10.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201902,10.33
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201901,10.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201812,10.17
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201811,10.38
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201810,11.01
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201809,12.22
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201808,13.05
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201807,13.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201806,12.72
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201805,11.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201804,11.28
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201803,10.77
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201802,10.61
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201801,10.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201712,10.66
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201711,10.65
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201710,11.17
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201709,12.13
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201708,13.39
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201707,13.72
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201706,12.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201705,11.0
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201704,10.23
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201703,9.58
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201702,9.61
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201701,9.44
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201612,9.51
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201611,9.73
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201610,10.07
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201609,11.34
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201608,12.66
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201607,12.98
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201606,12.14
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201605,10.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201604,9.63
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201603,9.09
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201602,8.99
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201601,8.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201512,8.76
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201511,8.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201510,9.4
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201509,9.81
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201508,11.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201507,11.66
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201506,11.29
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201505,10.87
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201504,10.03
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201503,9.68
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201502,9.64
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201501,9.51
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201412,9.59
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201411,9.22
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201410,9.35
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201409,10.43
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201408,12.05
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201407,12.01
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201406,10.63
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201405,7.77
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201404,6.82
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201403,7.18
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201402,9.42
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201401,9.49
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201312,9.13
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201311,8.19
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201310,8.79
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201309,9.03
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201308,9.27
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201307,9.84
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201306,9.52
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201305,9.0
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201304,8.36
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201303,8.41
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201302,9.18
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201301,9.07
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201212,8.57
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201211,7.86
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201210,8.21
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201209,8.74
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201208,10.07
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201207,9.7
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201206,9.57
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201205,8.93
USA-AK,USA-AK,Dollars per Thousand Cubic Feet,$/Mcf,201204,8.47
