iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,202102,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202101,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202012,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202011,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202010,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202009,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202008,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202007,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202006,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202005,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202004,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202003,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202002,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202001,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201912,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201911,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201910,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201909,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201908,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201907,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201906,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201905,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201904,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201903,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201902,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201901,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201812,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201811,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201810,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201809,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201808,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201807,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201806,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201805,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201804,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201803,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201802,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201801,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201712,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201711,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201710,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201709,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201708,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201707,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201706,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201705,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201704,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201703,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201702,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201701,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201612,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201611,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201610,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201609,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201608,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201607,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201606,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201605,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201604,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201603,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201602,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201601,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201512,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201511,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201510,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201509,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201508,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201507,43600.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201506,43600.0
