iso3166,geography,units,unitsshort,period,value
USA-AL,USA-AL,Million Cubic Feet,MMcf,202102,6905.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202101,2591.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202012,2532.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202011,-528.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202010,1436.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202009,-3260.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202008,656.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202007,185.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202006,-112.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202005,-669.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202004,-4401.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202003,-1483.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202002,3469.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,202001,437.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201912,-1295.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201911,-3103.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201910,-3437.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201909,-1058.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201908,1779.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201907,1992.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201906,119.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201905,-1047.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201904,-4541.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201903,1480.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201902,3277.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201901,1154.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201812,-4038.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201811,-553.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201810,-3424.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201809,3736.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201808,3070.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201807,2879.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201806,1165.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201805,-3590.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201804,-2801.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201803,-2192.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201802,885.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201801,7522.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201712,2448.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201711,-1237.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201710,-3630.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201709,-561.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201708,3628.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201707,3386.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201706,498.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201705,169.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201704,-1292.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201703,1420.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201702,-1005.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201701,-254.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201612,3462.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201611,-2161.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201610,-5368.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201609,-597.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201608,2250.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201607,3115.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201606,1486.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201605,-1536.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201604,-3383.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201603,-323.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201602,-713.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201601,4787.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201512,-249.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201511,-1217.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201510,-415.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201509,-2416.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201508,1057.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201507,-971.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201506,-734.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201505,-5684.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201504,-6159.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201503,-243.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201502,8440.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201501,4774.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201412,-1346.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201411,321.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201410,-3227.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201409,-761.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201408,492.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201407,-38.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201406,-420.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201405,-5110.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201404,-5260.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201403,61.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201402,3236.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201401,6448.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201312,2628.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201311,666.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201310,928.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201309,-1294.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201308,639.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201307,-497.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201306,798.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201305,-504.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201304,-1880.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201303,773.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201302,1923.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,201301,821.0
