iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,58981.0
USA,USA,Million Cubic Feet,MMcf,2019,51150.0
USA,USA,Million Cubic Feet,MMcf,2018,50413.0
USA,USA,Million Cubic Feet,MMcf,2017,48204.0
USA,USA,Million Cubic Feet,MMcf,2016,42028.0
USA,USA,Million Cubic Feet,MMcf,2015,39390.0
USA,USA,Million Cubic Feet,MMcf,2014,35282.0
USA,USA,Million Cubic Feet,MMcf,2013,30045.0
USA,USA,Million Cubic Feet,MMcf,2012,29970.0
USA,USA,Million Cubic Feet,MMcf,2011,29974.0
USA,USA,Million Cubic Feet,MMcf,2010,28664.0
USA,USA,Million Cubic Feet,MMcf,2009,27262.0
USA,USA,Million Cubic Feet,MMcf,2008,25982.0
USA,USA,Million Cubic Feet,MMcf,2007,24655.0
USA,USA,Million Cubic Feet,MMcf,2006,23739.0
USA,USA,Million Cubic Feet,MMcf,2005,22884.0
USA,USA,Million Cubic Feet,MMcf,2004,20514.0
USA,USA,Million Cubic Feet,MMcf,2003,18271.0
USA,USA,Million Cubic Feet,MMcf,2002,14950.0
USA,USA,Million Cubic Feet,MMcf,2001,14536.0
USA,USA,Million Cubic Feet,MMcf,2000,12752.0
USA,USA,Million Cubic Feet,MMcf,1999,11622.0
USA,USA,Million Cubic Feet,MMcf,1998,9341.0
USA,USA,Million Cubic Feet,MMcf,1997,8328.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2020,3.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,0.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,5.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,5.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,12.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,10.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,9.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,9.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,11.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,11.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,20.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,22.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,26.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,28.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,27.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,38.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,18.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,16.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,13.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,13.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,10.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,9.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,7.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,8.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2020,102.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,64.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,83.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,89.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,147.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,300.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,377.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,190.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,193.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,192.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,105.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,80.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,84.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,88.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,111.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,153.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,107.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,95.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,78.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,76.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,62.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,56.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,45.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,51.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,2.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,4.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,3.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,4.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,3.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,3.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2020,67.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,57.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,49.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,44.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,43.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,32.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2014,32.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2013,27.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2012,21.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2011,21.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2010,16.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2009,11.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2008,12.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2007,13.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2006,10.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2005,11.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2004,173.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2003,154.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2002,126.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2001,125.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2000,99.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1999,90.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1998,72.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1997,53.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1996,3.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1995,2.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1994,3.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1993,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1992,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1991,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1990,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1989,0.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,1988,0.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2020,1885.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2019,1570.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2018,1656.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2017,1565.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2016,2471.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2015,2207.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2014,2181.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2013,1730.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2012,1707.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2011,1712.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2010,2015.0
USA-AZ,USA-AZ,Million Cubic Feet,MMcf,2009,2096.0
