iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,2019,7248.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2018,8210.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2017,7605.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2016,8541.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2015,5385.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2014,6554.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2013,7219.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2012,11769.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2011,10966.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2010,10173.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2009,6481.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2008,10023.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2007,6458.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2006,7125.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2005,6429.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2004,6088.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2003,6345.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2002,7312.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2001,7686.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,2000,7546.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1999,7098.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1998,8171.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1997,8269.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1996,7070.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1995,8736.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1994,13240.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1993,22485.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1992,14097.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1991,10784.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1990,10727.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1989,9786.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1988,9018.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1987,15603.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1986,8862.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1985,6296.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1984,11670.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1983,5027.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1982,6946.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1981,5630.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1980,4820.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1979,4526.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1978,8492.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1977,15644.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1976,6554.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1975,10401.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1974,11524.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1973,4979.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1972,21590.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1971,33880.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1970,34808.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1969,32543.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1968,24258.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,1967,11390.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2019,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2018,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2017,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2016,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2015,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2014,
USA-AL,USA-AL,Million Cubic Feet,MMcf,2013,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2012,0.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2011,3491.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2010,2617.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2009,2495.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2008,1801.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2007,2372.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2006,3525.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2005,2485.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2004,2316.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2003,1611.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2002,1331.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2001,1039.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,2000,1262.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1999,1085.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1998,1462.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1997,1563.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1996,1853.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1995,2935.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1994,2650.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1993,1798.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1992,1799.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1991,2193.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1990,1933.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1989,1503.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1988,1824.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1987,1356.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1986,1310.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1985,1426.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1984,1829.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1983,1793.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1982,2806.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1981,2485.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1980,3175.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1979,1497.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1978,1695.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1977,1180.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1976,1088.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1975,1107.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1974,1492.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1973,1890.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1972,966.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1971,308.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1970,656.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1969,795.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1968,422.0
USA-AL,USA-AL,Million Cubic Feet,MMcf,1967,360.0
USA-AR,USA-AR,Million Cubic Feet,MMcf,2019,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2018,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2017,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2016,
USA-AR,USA-AR,Million Cubic Feet,MMcf,2015,0.0
