iso3166,geography,units,unitsshort,period,value
USA-AK,USA-AK,Million Cubic Feet,MMcf,202102,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202101,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202012,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202011,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202010,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202009,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202008,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202007,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202006,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202005,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202004,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202003,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202002,
USA-AK,USA-AK,Million Cubic Feet,MMcf,202001,
USA-AK,USA-AK,Million Cubic Feet,MMcf,201912,546.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201911,517.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201910,662.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201909,568.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201908,1057.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201907,630.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201906,473.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201905,521.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201904,538.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201903,439.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201902,502.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201901,795.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201812,475.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201811,436.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201810,1142.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201809,451.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201808,605.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201807,2249.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201806,536.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201805,541.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201804,442.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201803,456.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201802,407.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201801,470.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201712,1140.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201711,441.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201710,465.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201709,1131.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201708,504.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201707,745.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201706,572.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201705,564.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201704,416.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201703,555.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201702,537.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201701,534.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201612,658.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201611,675.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201610,716.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201609,477.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201608,515.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201607,548.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201606,871.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201605,636.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201604,1884.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201603,699.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201602,377.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201601,485.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201512,405.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201511,405.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201510,457.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201509,403.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201508,456.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201507,420.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201506,542.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201505,479.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201504,489.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201503,508.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201502,402.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201501,422.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201412,416.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201411,473.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201410,695.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201409,563.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201408,600.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201407,656.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201406,473.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201405,436.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201404,490.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201403,466.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201402,840.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201401,447.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201312,463.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201311,560.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201310,609.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201309,464.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201308,628.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201307,428.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201306,585.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201305,574.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201304,874.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201303,615.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201302,776.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201301,642.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201212,852.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201211,854.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201210,899.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201209,1094.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201208,769.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201207,1414.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201206,1200.0
USA-AK,USA-AK,Million Cubic Feet,MMcf,201205,975.0
